objective,state,evidence_or_boundary
1,"OPEN / DEFERRED","rd_datos.db valid and empty; no field authority"
2,GATED,"rd.db catalog and rd_datos.db field store separate"
3,DEFERRED,"mutating routes need authority and rollback"
4,CLASSIFIED,"issue URL workflow user-confirmed; providers not called"
5,"GATED / PARTIAL","read-only CLI passes; writers deferred"
6,INTEGRATED,"1742 RD regular files reconcile to local index"
7,"CLASSIFIED / PARTIAL","Pillow repaired; per-slice runtime compatibility open"
8,PROPOSED,"folder architecture mapped"
9,"LEDGERED / PRESERVE","duplicate families classified; protected evidence kept"
10,ROLE-MAPPED,"tool owners/projections mapped"
11,IN_PROGRESS,"full MAK audit continues"
12,PENDING_GATE,"one quarantine candidate; no move/delete"
13,DEFERRED,"Git branch proposal after gates"
