path,layer,exists,size_bytes,sha256,status,owner_candidate,consumer_candidate,dependency_candidate,language_aliases,verification,decision,notes
/home/mak/flujo/cultura/mak_plataforma/mak-hub.service,source,true,332,e491c5b938f0007bcf4cbffc4ec7f839fd0f7ba5c868ed7b8c77df049201135c,EVIDENCE_ONLY,mak_plataforma,candidate_service,systemd,"servicio|service|unit|systemd|plataforma|platform",metadata+static ExecStart,no_change,authoring declaration; not activation evidence
/home/mak/flujo/cultura/mak_plataforma/mak-xio.service,source,true,412,ce4a11343d3b1b06c4ccd3cb724bb12ce5b5afbd8bce4f3c35d949dea0da7a33,EVIDENCE_ONLY,mak_plataforma,candidate_service,systemd+xio_puente,"servicio|service|unit|systemd|puente|bridge",metadata+static ExecStart,no_change,source declaration only
/home/mak/flujo/cultura/mak_plataforma/crontab.mak,source,true,3403,c7c7c045ec5e2727f7bb62a753c20210c975d8acf67624ceb39147ea5dbb5122,EVIDENCE_ONLY,mak_plataforma,cron candidates,cron+shell,"cron|timer|crontab|scheduled|guardia|watchdog|respaldo|backup",metadata+static grep,no_change,source schedule text; no active schedule proof
/home/mak/flujo/cultura/mak_plataforma/watchdog_mak.sh,source,true,2756,fd0c16593e3b08c83e7dec058ca9fd9e52d6390709c15890dac645a19fb597b4,EVIDENCE_ONLY,mak_plataforma,crontab candidate,flock+systemd+HTTP,"guardia|watchdog|guardian|vigia|lock|salud|health",metadata+static grep,no_change,source watchdog retained
/home/mak/flujo/cultura/mak_plataforma/backup.sh,source,true,580,6db6de7b9fffc757f68294c196d03a8017f3f7fdf1e1548232e4c64c3eecf292,EVIDENCE_ONLY,mak_plataforma,crontab candidate,backup shell+filesystem,"respaldo|backup|archive|restore|cron|scheduled",metadata+static grep,no_change,source backup retained
/home/mak/flujo/cultura/mak_plataforma/guardia.py,source,true,6880,d5e8047d7d9afa02d7b9635f45e1dfda6ee7781d8112c0ecc8ad85f350c6df39,EVIDENCE_ONLY,mak_plataforma,watchdog_mak.sh,Python+locks+state,"guardia|watchdog|vigia|estado|state|lock",metadata+AST prior,no_change,static source; no live caller
/home/mak/flujo/cultura/mak_plataforma/latido.py,source,true,6014,c8dfb331b1edd0d7ed91827ab5addc14039685d11ba1702fb8c5bd720c6c96ab,EVIDENCE_ONLY,mak_plataforma,crontab candidate,Python+logs,"latido|heartbeat|estado|state|cron|scheduled",metadata+AST prior,no_change,source entrypoint only
/home/mak/flujo/cultura/mak_plataforma/capataz.py,source,true,26295,af41076e5305e44bdeb4e241921bc3917cd85160df93baa6c6e1c0e9195ebd87,EVIDENCE_ONLY,mak_plataforma,crontab candidate,Python+state,"capataz|dispatcher|runner|trabajo|work|estado|state",metadata+AST prior,no_change,source scheduler-like path
/home/mak/flujo/cultura/mak_conductor/queue_worker.py,source,true,3071,9c10133c4e4cc478b004101876e4c8ca2a806a8a1f2d20456767a3b07375a2f9,EVIDENCE_ONLY,mak_conductor,run_conductor_worker.py,Python+queue+SQLite+lock,"cola|queue|worker|conductor|dispatcher|backlog|pending",metadata+AST prior,no_change,static worker source; not started
/home/mak/flujo/cultura/mak_conductor/queue_store.py,source,true,37893,0a2716d79ae75632fbc179811f0c66023fd681273621eeb0bb3b29a8b77564c9,EVIDENCE_ONLY,mak_conductor,queue_worker/runtime,Python+SQLite+WAL,"cola|queue|backlog|pending|estado|state|lock",metadata+AST/import prior,no_change,store contract not live-verified
/home/mak/flujo/cultura/mak_conductor/runtime.py,source,true,12708,ead30814713687c41984acb6e37e5d8c28de3cc402a99d75b63b74b1a5ba5a56,EVIDENCE_ONLY,mak_conductor,handler_registry,Python+SQLite+paths,"estado|state|salud|health|cola|queue|servicio|service",metadata+AST/import prior,no_change,dispatch capability not active evidence
/home/mak/flujo/cultura/mak_plataforma/ledger.py,source,true,34051,7e7cb2ffdad7dc35750803f831edcf823631443cd36d972cb9da3ded934d11ae,EVIDENCE_ONLY,mak_plataforma,mak_conductor+mak_curatoria,Python stdlib,"bitácora|bitacora|ledger|journal|estado|state",metadata+AST/import prior,no_change,import evidence only
/home/mak/plataforma/mak-hub.service,runtime,true,332,e491c5b938f0007bcf4cbffc4ec7f839fd0f7ba5c868ed7b8c77df049201135c,BLOCKED,mak_plataforma,systemd user service,systemd+venv+plataforma,"servicio|service|unit|systemd|estado|state",metadata+systemctl inactive/disabled,no_change,runtime declaration inactive and disabled
/home/mak/plataforma/mak-xio.service,runtime,true,412,ce4a11343d3b1b06c4ccd3cb724bb12ce5b5afbd8bce4f3c35d949dea0da7a33,BLOCKED,mak_plataforma,systemd user service,systemd+xio_puente,"servicio|service|unit|systemd|puente|bridge",metadata+systemctl inactive/disabled,no_change,runtime declaration inactive and disabled
/home/mak/plataforma/crontab.mak,runtime,true,3403,c7c7c045ec5e2727f7bb62a753c20210c975d8acf67624ceb39147ea5dbb5122,BLOCKED,mak_plataforma,crontab,cron+shell+logs,"cron|timer|crontab|scheduled|estado|state",metadata+crontab-l paused,no_change,all observed entries paused
/home/mak/plataforma/watchdog_mak.sh,runtime,true,2756,fd0c16593e3b08c83e7dec058ca9fd9e52d6390709c15890dac645a19fb597b4,BLOCKED,mak_plataforma,paused crontab,flock+systemd+HTTP+logs,"guardia|watchdog|vigia|lock|salud|health",metadata+static only,no_change,side effects and unit repair not verified
/home/mak/plataforma/backup.sh,runtime,true,580,6db6de7b9fffc757f68294c196d03a8017f3f7fdf1e1548232e4c64c3eecf292,BLOCKED,mak_plataforma,paused crontab,backup+filesystem+logs,"respaldo|backup|archive|restore|cron",metadata+static only,no_change,writes backup output if run
/home/mak/plataforma/guardia.py,runtime,true,6880,d5e8047d7d9afa02d7b9635f45e1dfda6ee7781d8112c0ecc8ad85f350c6df39,BLOCKED,mak_plataforma,watchdog candidate,Python+locks+state,"guardia|watchdog|vigia|estado|state|lock",metadata+AST prior,no_change,no active caller; operational effects unisolated
/home/mak/plataforma/latido.py,runtime,true,6014,c8dfb331b1edd0d7ed91827ab5addc14039685d11ba1702fb8c5bd720c6c96ab,BLOCKED,mak_plataforma,paused crontab,Python+logs,"latido|heartbeat|cron|estado|state",metadata+AST prior,no_change,paused declaration only
/home/mak/plataforma/capataz.py,runtime,true,26295,af41076e5305e44bdeb4e241921bc3917cd85160df93baa6c6e1c0e9195ebd87,BLOCKED,mak_plataforma,paused crontab,Python+state+logs,"capataz|dispatcher|runner|trabajo|work|estado|state",metadata+AST prior,no_change,paused declaration only
/home/mak/plataforma/vigilar_red.py,runtime,true,2869,8487f0953f0c67f8404291803e9910cf3280bf0eb9db5f12ad0a1e9d1da2647c,BLOCKED,mak_plataforma,paused crontab,Python+network+logs,"vigilar|watch|guardia|watchdog|salud|health",metadata+static reference,no_change,network-capable and paused
/home/mak/plataforma/ledger.py,runtime,true,34051,7e7cb2ffdad7dc35750803f831edcf823631443cd36d972cb9da3ded934d11ae,EVIDENCE_ONLY,mak_plataforma,static imports,Python stdlib+state,"bitácora|bitacora|ledger|journal|estado|state",metadata+AST/import prior,no_change,runtime file exists; no active ledger process
/home/mak/research/watchdog.sh,runtime,true,2705,faea0a1cf495f01e672910f93311eed91eb837d4e0104c663e777f95dde081f1,BLOCKED,mak_research,paused crontab,Shell+research+logs,"investigación|investigacion|research|guardia|watchdog|log",metadata+crontab paused,no_change,referenced guard; no active consumer
/home/mak/vigia/vigia_guardia.sh,runtime,true,1981,d870b896796a98b5dea1dd5601c0b86378c2768c72519fd0e9bed57b17a23628,BLOCKED,mak_vigia,paused crontab,Shell+logs,"vigia|guardia|watchdog|log|estado|state",metadata+crontab paused,no_change,referenced guard; no active consumer
/home/mak/.config/systemd/user/mak-hub.service,runtime,true,332,e491c5b938f0007bcf4cbffc4ec7f839fd0f7ba5c868ed7b8c77df049201135c,BLOCKED,mak_plataforma,systemd user manager,systemd+venv,"servicio|service|unit|systemd|estado|state",systemctl inactive exit3 disabled exit1,no_change,installed declaration but not active
/home/mak/flujo/tools/mak_ops/run_conductor_worker.py,tool,true,4496,c5be9c52af61409ce49e86828264026e2919a1d40d815ac15be001fe6eedea6f,BLOCKED,mak_conductor,shadow service/timer,Python+SQLite+GPU lock+sentinel,"conductor|worker|cola|queue|lock|estado|state",AST+help exit0 prior,no_change,entrypoint side effects not run
/home/mak/flujo/tools/mak_ops/mak-conductor-shadow.service,tool,true,700,8133576d0ab69ff35165389255535b8b8525aff6e6d563f2ca1bd4f4eb40360b,BLOCKED,mak_conductor,shadow timer,systemd+SQLite+lock+sentinel,"servicio|service|unit|worker|cola|queue|lock",metadata+systemctl inactive/absent,no_change,declaration not installed/enabled
