"metric","value","result"
"safe suite files","68","pass"
"safe suite cases","485","pass"
"EVENTOS bridge fixtures","6","pass"
"reception fixtures","2","pass"
"hub EVENTOS fixtures","15","pass"
"nocturnal cleanup fixtures","13","pass"
"active AST","550/550","pass"
"pip check","0","pass"
"active cron","0","pass"
"matching processes","0","pass"
"active pyc","0","pass"
"rd_datos.db","integrity ok; all four tables 0 rows","pass"
"external/live proof gaps","RD authority, live mutation, provider/replay, Git","open"
