id_coste,categoria,concepto,actividad,periodo,cantidad,unidad,precio_unitario,subtotal,producto,proyecto_que_paga,fundamento,origen_del_valor
P-DIF-01,Personal,Asignacion del responsable,"Direccion, curaduria de la seleccion, implementacion de la superficie y mediacion en linea",2027-04 a 2028-03,1,global,3400000,3400000,Superficie publica de obras,Fondart Difusion 2027,"Asignacion del responsable, bases cap. I.7; tope 40% del solicitado",tope_normativo
O-DIF-01,Operacion,Hosting y dominio de la superficie publica de obras,Publicar y sostener el acceso a las obras seleccionadas,2027-04 a 2028-03,12,mes,45000,540000,Superficie publica en linea,Fondart Difusion 2027,Unico proyecto del paquete que paga hosting; ver TRAZABILIDAD_COSTES.md,referencia
O-DIF-02,Operacion,Preparacion y recaptura de piezas para publicacion,Dejar cada obra seleccionada en condiciones de mostrarse en linea,2027-05 a 2027-07,1,lote,700000,700000,Piezas preparadas para publicacion,Fondart Difusion 2027,Las obras existen pero no en formato publicable,estimacion
O-DIF-03,Operacion,Auditoria externa de accesibilidad con informe,Servicio puntual con entregable sobre la superficie publicada,2027-09,1,servicio,900000,900000,Informe de accesibilidad de la superficie,Fondart Difusion 2027,"La accesibilidad de un sitio se verifica con norma, no se declara",estimacion
O-DIF-04,Operacion,Diseno grafico y editorial de la superficie,Servicio con entregable: sistema visual y plantillas de la publicacion,2027-06 a 2027-08,1,servicio,1100000,1100000,Sistema visual de la superficie,Fondart Difusion 2027,La legibilidad publica de un archivo es trabajo de diseno,estimacion
O-DIF-05,Operacion,Textos alternativos y descripciones accesibles de las obras,Redactar la alternativa no visual pieza por pieza,2027-08 a 2027-09,1,servicio,500000,500000,Descripciones accesibles,Fondart Difusion 2027,Sin texto alternativo la superficie excluye a parte del publico,estimacion
O-DIF-06,Operacion,Difusion y convocatoria de publicos,Convocatoria dirigida en linea a las redes donde ese publico existe,2027-09 a 2028-01,1,global,850000,850000,Publico alcanzado,Fondart Difusion 2027,Impacto Potencial pondera 50% en esta linea y exige desarrollo de publicos,estimacion
O-DIF-07,Operacion,Registro y sistematizacion de datos de acceso,Producir el verificador de circulacion y acceso,2027-10 a 2028-02,1,servicio,400000,400000,Informe de acceso y circulacion,Fondart Difusion 2027,Las metas de acceso deben poder verificarse,estimacion
O-DIF-08,Operacion,Edicion imprimible de la guia de lectura y tirada corta,"Producir la version descargable e imprimible, mas ejemplares a solicitud",2027-09,200,ejemplar,1200,240000,Guia de lectura imprimible y tirada corta,Fondart Difusion 2027,"Acceso sin conectividad, sin depender de una actividad presencial",referencia
IM-DIF-01,Imprevistos,Imprevistos de ejecucion,Cubrir variaciones acotadas,2027-04 a 2028-03,1,global,170000,170000,Margen de ejecucion,Fondart Difusion 2027,"Tope 2% del solicitado, bases cap. I.7",tope_normativo
