path,layer,exists,size_bytes,sha256,status,owner_candidate,consumer_candidate,dependency_candidate,language_aliases,verification,decision,notes
/home/mak/flujo/src/flujo/cli.py,source,true,127248,2dea3cc9df4398db877fd34374c9fc4dcf8de8eb2fa4ccac2b32a5065fc602a2,LIVE/ADOPTABLE,flujo maintainer,venv flujo launcher + users,Typer plus project dependencies,"flujo|flujo-cli|plataforma|platform|trabajo|work|estado|state|entrega|delivery",venv python -m flujo --help exit 0; AST pass,adoptable,"Debian 12 foreground entrypoint; consumer and declared pyproject contract observed; no promotion performed"
/home/mak/flujo/src/flujo/__main__.py,source,true,59,41df9ff33d90dafa6210fdb1e8f045b09ae900258357114a424f36d0c845987a,LIVE/ADOPTABLE,flujo maintainer,python -m flujo,src/flujo package,"flujo|platform|trabajo|work|estado|state",AST pass; CLI help through module exit 0,adoptable,"Thin module entrypoint; adoption is through the verified venv launcher"
/home/mak/flujo/src/flujo/autonomia.py,consumer,true,16603,28d1c88ba02e0f6ec639db9bf65f0db992f5a145b26eb56e9dbb969e22841b81,LIVE/ADOPTABLE,flujo maintainer,flujo CLI autonomy commands,cultura.mak_plataforma ledger/providers/tandas,"trabajo|work|cola|queue|bitácora|bitacora|ledger|estado|state|ruta|route",AST pass; import path recorded by Phase 8; no mutating command run,adoptable,"Current import contract exists; command behavior against live state still requires isolated fixture"
/home/mak/flujo/pyproject.toml,contract,true,2009,61879f79b522e2d9a7ceb89453e43fcdceb943a19df2156cce377ea59729c7ff,LIVE/ADOPTABLE,flujo maintainer,packaging and venv launcher,setuptools Typer pydantic yaml rich jsonschema requests boto3,"plataforma|platform|trabajo|work|estado|state|servicio|service",static project.scripts and dependency contract pass,adoptable,"Declares flujo = flujo.cli:app; does not itself prove installed dependency availability"
/home/mak/flujo/cultura/mak_conductor/handler_registry.py,consumer,true,54633,7284ccacfc44a4fa52cb10f41b541a3392072d4bcf7557dc8875e4005400dc1a,EVIDENCE_ONLY,LUNA principal / conductor,handler_for_stage callers,JSON payload plus lazy handler dependencies,"conductor|dispatcher|handler|trabajo|work|entrega|delivery|estado|state|cola|queue",AST pass; import yields 30 handlers; no handler executed,evidence_only,"Registry is a real contract map but Phase 9 found no safe promoted execution contract"
/home/mak/flujo/cultura/mak_conductor/producer_catalog.py,consumer,true,6163,64d3015a9c653f6fbfc4317415941d9bea0d994173b9dcba061c46d624e34c79,EVIDENCE_ONLY,MAK conductor,platform.entregar.main and issue route catalog,stage catalog only,"conductor|dispatcher|entrega|delivery|plataforma|platform|cola|queue|servicio|service",AST pass; read-only catalog inspection; no producer run,evidence_only,"Names consumers but catalog is not proof of adoption"
/home/mak/flujo/cultura/mak_conductor/runtime.py,consumer,true,12708,ead30814713687c41984acb6e37e5d8c28de3cc402a99d75b63b74b1a5ba5a56,BLOCKED,active runtime / conductor,dispatch_sync and queue store,SQLite WAL queue plus runtime locks/logs,"estado|state|salud|health|ruta|route|servicio|service|cola|queue",AST pass; static contract read; not invoked,blocked,"Potential persistent enqueue path lacks isolated fixture and approved bounded contract"
/home/mak/flujo/cultura/mak_conductor/queue_worker.py,consumer,true,3071,9c10133c4e4cc478b004101876e4c8ca2a806a8a1f2d20456767a3b07375a2f9,BLOCKED,MAK conductor,queue worker,SQLite queue plus handler registry,"conductor|dispatcher|worker|trabajo|work|cola|queue|pendiente|pending|estado|state",AST pass; import surface only; worker not started,blocked,"Starting would create a worker; no foreground fixture contract established"
/home/mak/flujo/cultura/mak_plataforma/ledger.py,platform,true,34051,7e7cb2ffdad7dc35750803f831edcf823631443cd36d972cb9da3ded934d11ae,LIVE/ADOPTABLE,mak_plataforma,mak_conductor and mak_curatoria,stdlib plus local state paths,"bitácora|bitacora|ledger|estado|state|trabajo|work|carpeta|directory|ruta|path",AST and import pass; consumers observed in Phase 8,adoptable,"Current Debian source/runtime parity and named consumers; write contract still needs fixture"
/home/mak/flujo/cultura/mak_plataforma/tandas.py,platform,true,59706,e20b383e15fbb2701173c993153d7d1a7a094849680587eceb95ffd513288e1a,EVIDENCE_ONLY,mak_plataforma,flujo.autonomia and conductor,stdlib plus ledger/providers and state paths,"tandas|batch|trabajo|work|cola|queue|estado|state|salud|health",AST pass; import referenced; no batch run,evidence_only,"Contract is documented and imported but execution can persist state and is not foreground-verified"
/home/mak/flujo/cultura/mak_plataforma/entregar.py,platform,true,16975,0e63223d20136b21b220b432f37d0cff3809a8ccf1b3b639863d273551d9270b,BLOCKED,platform.entregar.main,mak_conductor repo_delivery,locks logs jobs state plus git/gh on non-dry path,"entrega|delivery|respaldo|backup|estado|state|bloqueo|blocked|bitácora|ledger",AST pass; Phase 9 dry path shown to acquire lock and append log; not run,blocked,"Named consumer exists but even dry route has persistent side effects; needs isolated harness"
/home/mak/flujo/cultura/mak_plataforma/puente_issues.py,platform,true,25866,e1bc8880c9191822db01f44e5b2dcac29016ac9213532e279ec2a9982a705659,BLOCKED,platform.puente_issues.una_pasada,mak_conductor issue_render,gh network queue shadow issue state rclone/render paths,"investigación|investigacion|research|curatoria|curation|entrega|delivery|cola|queue|carpeta|directory",AST pass; Phase 9 dry route still observes network/persistent state; not run,blocked,"No network or issue execution permitted; replace with fixture contract before adoption"
/home/mak/flujo/cultura/mak_plataforma/hub.py,platform,true,210361,9a8b861d6065606fcef3c9c4ba13350cfe94f6e8c806ad07df7cfccdb96b0255,EVIDENCE_ONLY,mak_plataforma,candidate local hub service,systemd declaration plus local paths,"plataforma|platform|hub|servicio|service|estado|state|ruta|route",AST pass; declaration/import evidence only; no server started,evidence_only,"Candidate service is not current adoption evidence; permanent service explicitly out of scope"
/home/mak/plataforma/mak-hub.service,runtime,true,332,e491c5b938f0007bcf4cbffc4ec7f839fd0f7ba5c868ed7b8c77df049201135c,EVIDENCE_ONLY,mak_plataforma,declared hub target,systemd,"servicio|service|unit|systemd|plataforma|platform|ruta|route",stat and hash; service not started,evidence_only,"Unit declaration only; no enable/start and no proof of current owner/consumer runtime"
/home/mak/plataforma/panel_directivo.py,runtime,true,4785,4a85f10015f9e25a7f6bc739e6ae81c38f6c5b2e69d71536544816ded824afc7,BLOCKED,existing runtime panel,unknown,Python stdlib,"panel|estado|state|salud|health|plataforma|platform",AST fails SyntaxError line 145 exit 1,blocked,"Preserve known SyntaxError; no repair authorized in this phase"
/home/mak/flujo/scripts/flujo.py,script,true,4334,6b56df7bb1be09115f26057f28583c7acf828f7c91a3fa458f7b8f328f0c1b36,SUPERSEDED,flujo legacy wrapper,none; CLI is consumer,src/flujo CLI,"flujo|trabajo|work|estado|state|entrega|delivery|wrapper|envoltorio",AST pass; --help exit 2; docs identify pre-Typer wrapper,superseded,"Prefer verified flujo CLI; retain wrapper as evidence"
/home/mak/flujo/scripts/flujo_daily.py,script,true,9490,f1b62a82b2a96c944480d71c6b368b4b960ad69d4ca8bf730161f0fa06b91501,SUPERSEDED,flujo maintainer,Make daily and historical callers,src/flujo CLI daily command,"diario|daily|trabajo|work|estado|state|ruta|route",AST pass; --help exit 0; docs map equivalent flujo daily,superseded,"Compatibility wrapper remains but CLI is preferred; no deletion"
/home/mak/flujo/scripts/flujo_health.py,script,true,2931,a5bcce7579276dbca7b0da8548fdf7787129ecaa9d2652e75388d6f2575e4f69,SUPERSEDED,flujo maintainer,render workflow historical caller,src/flujo CLI health,"salud|health|estado|state|servicio|service|wrapper|envoltorio",AST pass; --help exit 1; docs map equivalent command,superseded,"Historical workflow reference conflicts with current CLI contract; preserve"
/home/mak/flujo/scripts/piezas_generar.py,script,true,626,7e70c3b429f9aa2cb4400bf3f59180f0a3fac423d519fa2e6e45d19a1098018c,LIVE/ADOPTABLE,RD production maintainer,Make render and CI workflow,flujo render run plus render dependencies,"entrega|delivery|output|salida|pieza|asset|formato|format",AST pass; docs and Make identify current consumers; help not invoked,adoptable,"Consumer contract is explicit, but output generation intentionally not run"
/home/mak/flujo/tools/update_readme_svg.py,tool,true,4332,1132532e878c730e17d379ff42f2e1b647e7c963b0ab33235d8aa686ef371850,EVIDENCE_ONLY,README artwork maintainer,arte-ascii-readme.svg and test_readme_svg,stdlib plus SVG artwork,"arte|artwork|readme|generador|generator|visual|svg",AST and --help exit 0; Phase 3 check intentionally fails drift, no write,evidence_only,"Artwork and generator explicitly no_change; do not regenerate"
/home/mak/flujo/tools/mak_ops/run_conductor_source_probe.py,tool,true,4664,2d488dfe699895927e5733877a47238d01058d667b768feb3a49286e33d94018,EVIDENCE_ONLY,MAK conductor investigator,queue/source bridge probe,QueueStore QueueWorker and local paths,"conductor|dispatcher|probe|sondeo|cola|queue|trabajo|work|estado|state",AST and --help exit 0; probe not executed,evidence_only,"Diagnostic helper is safe only as read-only source probe; no live queue contract"
/home/mak/flujo/tests/test_cli_smoke.py,test,true,2636,a9ab16a25868793eb8cd1665797b0abd6e3d39f698d9b27b671d371301292f29,LIVE/ADOPTABLE,flujo maintainer,pytest test suite,pytest plus flujo package,"prueba|test|cli|estado|state|salud|health",AST pass; pytest unavailable exit 127/ModuleNotFoundError,adoptable,"Real test contract is visible but not foreground-executed in this environment"
/home/mak/flujo/tests/test_mak_conductor_registry.py,test,true,17880,07dfecb1586e7f850da55dc09d077d72f7de85b9e812d708895aceffcf893f33,EVIDENCE_ONLY,MAK conductor,pytest suite and registry,pytest plus cultura package,"prueba|test|conductor|dispatcher|handler|estado|state|cola|queue",AST pass; pytest unavailable; registry import only,evidence_only,"Static test contract supports review but cannot prove runtime adoption"
/home/mak/flujo/tests/test_entregar_smoke_gate.py,test,true,13055,959d950bae7c1a20185c03a2bda624004cb30f7b46b1eccee14b39520b9898fe,BLOCKED,platform delivery maintainer,pytest delivery smoke gate,pytest plus filesystem locks/logs,"prueba|test|entrega|delivery|bloqueo|blocked|estado|state|salud|health",AST pass; not run because delivery dry path persists state,blocked,"Test names a contract but safe isolated fixture is missing"
/home/mak/flujo/tests/test_mak_portfolio_bridge.py,test,true,100355,23d94bd8c86adaad8dec489cf694e4ca493d7ec4f64d030e04c52d61abc4571c,EVIDENCE_ONLY,RD/portfolio maintainer,pytest portfolio bridge suite,pytest plus portfolio/RD fixtures,"portafolio|portfolio|puente|bridge|entrega|delivery|carpeta|directory|prueba|test",AST pass; pytest unavailable; no external interface invoked,evidence_only,"Interface evidence retained; current consumer/dependency contract needs fixture-backed run"
/home/mak/WIN/flujo/cultura/mak_conductor/handler_registry.py,WIN,true,54618,b0c265a0f6e059822eb1220cdd14c45b3af264caea34da47472eb3c690c2a424,WINDOWS_LEGACY,WIN historical conductor,none on Debian 12,local historical source,"legado|legacy|conductor|dispatcher|handler|ruta|route|trabajo|work",stat/hash only; no Debian execution,windows_legacy,"Historical copy differs from active source and has no current Debian contract"
/home/mak/WIN/flujo/cultura/mak_plataforma/entregar.py,WIN,true,17032,94cdf9e82186be6d983157140e5e0c39b825a54f24821783464ae5290c6974c4,WINDOWS_LEGACY,WIN historical platform,none on Debian 12,local historical source,"legado|legacy|entrega|delivery|respaldo|backup|estado|state",stat/hash only; no execution,windows_legacy,"Historical Windows tool; current contract absent and active route is blocked"
/home/mak/WIN/flujo/cultura/mak_plataforma/puente_issues.py,WIN,true,25866,e1bc8880c9191822db01f44e5b2dcac29016ac9213532e279ec2a9982a705659,WINDOWS_LEGACY,WIN historical issue bridge,none on Debian 12,local historical source,"legado|legacy|issue|render|investigación|research|carpeta|directory",stat/hash only; no network or execution,windows_legacy,"Same hash as active file is not adoption evidence; platform contract remains blocked"
/home/mak/WIN/flujo/scripts/flujo.py,WIN,true,4334,6b56df7bb1be09115f26057f28583c7acf828f7c91a3fa458f7b8f328f0c1b36,WINDOWS_LEGACY,WIN historical CLI wrapper,none on Debian 12,local historical source,"legado|legacy|flujo|platform|trabajo|work|wrapper|envoltorio",stat/hash only; no current Debian consumer,windows_legacy,"Matching hash with active wrapper does not establish current adoption"
/home/mak/WIN/flujo/src/flujo/cli.py,WIN,true,130313,0cc6bb347ecf049aa1133f09477d3136d1dcc8f727e1a100c479463019b23871,WINDOWS_LEGACY,WIN historical flujo maintainer,none on Debian 12,Windows package dependencies,"legado|legacy|flujo|cli|plataforma|platform|estado|state",stat/hash only; no Debian execution,windows_legacy,"Historical source is not active runtime; active Debian source is separate physical path"
