surface,observed_size,role,status
/home/mak/flujo,baseline,canonical source runtime data jobs,ACTIVE_OWNER
/home/mak/RD,57G,creative source editable assets deliveries evidence,PROTECTED_LIVE_MEDIA
/home/mak/curatoria_inbox,173G,inbound visual audio project material,PROTECTED_INBOUND
/home/mak/portfolio_media,5.5G,portfolio media,PROTECTED_LIVE_OUTPUT
/home/mak/renders,120K,rendered outputs,PROTECTED_OUTPUT
/home/mak/trazos,4.9M,SVG creative corpus,EVIDENCE_OR_SOURCE
/home/mak/models,206M,mobileclip model artifact,OPTIONAL_MODEL_PROTECTED
/home/mak/state,301M,Windows dependency probe metadata,EVIDENCE
/home/mak/indexes,113M,derived indexes and reports,DERIVED_INDEX_PROTECTED
/home/mak/backups,166M,dated backups,RECOVERY_PROTECTED
/home/mak/quarantine,185M,quarantine evidence,RECOVERY_PROTECTED
/home/mak/rollback,240M,rollback snapshots,RECOVERY_PROTECTED
/home/mak/tmp,872K,temporary test artifacts,REVIEW_BY_PATH
