objective,status,evidence,remaining_gate
1,OPEN_AUTHORITY,Testeo_2025_temporary_rd_datos_ingest,date_required_fields_privacy_authority
2,VERIFIED_CATALOG_MERGE,20_tables_7587_rows_identical_catalogs,keep_rd_datos_separate
3,OPEN_LIVE_GATE,16_post_paths_and_temp_mutator_fixtures,authorized_live_mutation_rollback
4,PAUSED_VERIFIED,user_confirmed_evento_bridge_cron_zero,explicit_reenable
5,VERIFIED_LOCAL,nonserve_help_health_read_commands,mutator_provider_gates
6,VERIFIED_LOCAL_EXTERNAL_EDGES,index_svg_zip_config_rescale_consumers,visual_external_render
7,VERIFIED_BASE_OPTIONAL_GATED,base_venv_pip_check_optional_edges,consumer_named_promotion
8,PROPOSED_NOT_FINAL,physical_architecture_phase358_refresh,path_specific_moves
9,CLASSIFIED_NO_DELETE,99_hash_groups_334_paths,merge_named_family_rollback
10,OWNER_FUSED_PROJECTIONS_RETAINED,canonical_owners_and_quarantines,manifest_test_proof
11,LOCAL_AUDIT_PASS_EXTERNAL_OPEN,health_import_cli_sqlite_ast,external_boundaries_panel
12,CONFIRMED_JUNK_ONLY,92_ds_store_7_shell_residue_removed,path_specific_review
13,PROPOSAL_READY,branch_proposal_aligned,explicit_git_request
