"item","result","evidence"
"source change","updated cli.py docstring and dashboard/report.py quick command","apply_patch; exact two files"
"version","exit 0","v0.56.1"
"health","exit 0","jobs/inbox/projects/scripts/tools OK"
"render formats","exit 0","14 formats listed"
"job list","exit 0","8 jobs listed"
"job next","exit 0","next actions listed"
"datadrop list","exit 0","read-only list returned"
"knowledge list","exit 0","read-only list returned"
"rd-db help","exit 0","nested command contract visible"
"rd-datos help","exit 0","ingest/informe contract visible"
"dashboard fixture","exit 0","new command printed; obsolete command absent"
"source AST","2/2","cli.py and dashboard/report.py parsed"
