post_path,class,write_set,verification,status
"/api/comando","command_boundary","manifest command may read/mutate","static","authority_required"
"/api/plano/render","transient","in-memory payload/module reload","Phase29 HTTP 200","verified"
"/api/cotizacion/render","transient","in-memory payload","Phase29 HTTP 200","verified"
"/api/parse-pedido|/api/parse-real-pedido","parse","response only","static/CLI","verified_read"
"/api/run-safe-command","command_boundary","manifest command may mutate","static security gate","authority_required"
"/api/plano-simbolos/trazar","transient","response SVG only","static","bounded_input_required"
"/api/plano-simbolos","mutator","data/plano_simbolos SVG+JSON","Phase233 temp exit 0","live_authority_required"
"/api/create-job-draft","mutator","jobs files","static only","live_authority_required"
"/api/auto-pending-flyers","automation_mutator","jobs/assets/outputs","static only","automation_authority_required"
"/api/list-datadrops","read_like","response only","static","verified_read"
"/api/rd-db/logo","asset_mutator","knowledge/logos/descargas","Phase222/233 temp exit 0","live_authority_required"
"/api/datadrop-upload","asset_mutator","datadrop image+manifest","Phase233 temp exit 0","live_authority_required"
"/api/datadrop-analyze","metadata_mutator","datadrop manifest","Phase233 temp exit 0","live_authority_required"
"/api/datadrop-prepare-package","output_mutator","datadrops review package","Phase233 temp exit 0","live_authority_required"
"/api/datadrop-scan-incoming","intake_mutator","incoming datadrop surface","static only","authority_required"
