path,route_kind,owner_candidate,consumer_candidate,dependency_candidate,target_exists,target_status,verification_candidate,decision,notes
arte-ascii-readme.svg,generated_output,flujo visual/docs,tools/update_readme_svg.py; tests/test_readme_svg.py,README.md; Python stdlib,true,active_target,python3 tools/update_readme_svg.py --check; pytest -q tests/test_readme_svg.py,no_change,real consumer candidate in bounded slice; WIN is evidence only
context/LAST_HANDOFF.md,documentation,LUNA-03 operational handoff,phase handoff readers,agents.md; phase evidence,true,active_handoff,stat and section scan,no_change,preserve provenance-only historical conflict; do not restore or merge
docs/recovered/claude_sessions_2026-08-12/README.md,documentation,recovered corpus curator,phase review and human gate,recovered corpus boundary,true,evidence_target,README section scan,no_change,evidence notice explicitly denies operational authority
docs/recovered/claude_sessions_2026-08-12/raw/83087cdd-3709-48de-ab41-62325e73d863_nombre-cauce.md,evidence,recovered session corpus curator,no runtime consumer,recovered corpus README; human gate,true,evidence_target,metadata and path probe only,no_change,large recovered narrative; no safe contract identified
docs/recovered/claude_sessions_2026-08-12/raw/MANIFEST.json,evidence,recovered import tooling owner,phase reconciliation readers,Python stdlib JSON parser,true,evidence_target,python3 JSON shape validation,no_change,manifest records provenance and hashes; not runtime input
docs/recovered/claude_sessions_2026-08-12/raw/bases-texto-fondos-fondart-2027.json,evidence,research/corpus curator,no runtime consumer,recovered corpus boundary,true,evidence_target,JSON shape validation only,no_change,research data artifact; no declared flujo contract
docs/recovered/claude_sessions_2026-08-12/raw/claude_sesiones_index.html,evidence,recovered session corpus curator,no runtime consumer,recovered corpus README,true,evidence_target,metadata and path probe only,no_change,HTML evidence artifact; no declared entrypoint
docs/recovered/claude_sessions_2026-08-12/raw/claude_web_export_inventory.md,evidence,recovered import tooling owner,phase reconciliation readers,recovered corpus README,true,evidence_target,README/heading scan,no_change,inventory evidence; no runtime consumer
docs/recovered/claude_sessions_2026-08-12/raw/rd_reactivos_auditoria_internacional_2026-08-11.md,documentation,RD research curator,no runtime consumer,recovered corpus boundary,true,evidence_target,heading and metadata scan,no_change,report evidence; no active import or entrypoint
docs/recovered/claude_sessions_2026-08-12/raw/rd_reactivos_informe_2026-08-11.md,documentation,RD research curator,no runtime consumer,recovered corpus boundary,true,evidence_target,heading and metadata scan,no_change,report evidence; no active import or entrypoint
docs/recovered/claude_sessions_2026-08-12/raw/rd_testings_2025_integration_build.py,source_code,recovered RD tooling curator,no active consumer identified,Python stdlib; recovered corpus boundary,true,evidence_target,python3 -m py_compile only,no_change,source-like recovered script; promotion requires local test and human gate
docs/recovered/claude_sessions_2026-08-12/raw/rd_universo_entidades_informe_2026-08-11.md,documentation,RD research curator,no runtime consumer,recovered corpus boundary,true,evidence_target,heading and metadata scan,no_change,report evidence; no active import or entrypoint
tests/test_readme_svg.py,test,flujo visual/docs test owner,pytest test runner; arte-ascii-readme.svg,pytest; arte-ascii-readme.svg,true,active_test,pytest -q tests/test_readme_svg.py,no_change,consumer candidate verifies generated SVG contract
tools/update_readme_svg.py,source_code,flujo visual/docs tooling owner,arte-ascii-readme.svg; tests/test_readme_svg.py,README.md; Python stdlib,true,active_tool,python3 tools/update_readme_svg.py --check,no_change,consumer candidate produces/checks generated SVG without mutation
