path,source_phase,layer,classification,history_refs,history_domains,first_touched,last_touched,change_count,first_event_subject,last_event_subject,history_confidence,owner_candidate,consumer_candidate,dependency_candidate,decision,notes
/home/mak/flujo/cultura/mak_plataforma/trabajo.py,LUNA-10,source,LIVE/ADOPTABLE,"codex/three-plane-consolidation;iskvw;main;mak;mak-svg;rd",MAK,2026-07-17T17:22:15-04:00,2026-08-12T08:48:01-04:00,33,"feat(cultura): cierre organismo MAK -- WIN LLM provider, hub DOM+SVG, emisor de eventos (#48)","feat: integrate recovered MAK and RD work",high,mak_plataforma,mak_conductor,stdlib,keep candidate,"Exact source journey; first-working/recovered signal, not confirmed decision; physical pair hash-equal per PHASE15"
/home/mak/plataforma/trabajo.py,LUNA-10,runtime,LIVE/ADOPTABLE,"corresponding source journey; exact runtime path absent",MAK,2026-07-17T17:22:15-04:00,2026-08-12T08:48:01-04:00,33,"feat(cultura): cierre organismo MAK -- WIN LLM provider, hub DOM+SVG, emisor de eventos (#48)","feat: integrate recovered MAK and RD work",medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime traced through exact source journey; no independent Git path proof"
/home/mak/flujo/cultura/mak_plataforma/discernment.py,LUNA-10,source,LIVE/ADOPTABLE,"codex/three-plane-consolidation;iskvw;main;mak;mak-svg;rd",MAK,2026-08-05T09:05:12-04:00,2026-08-12T08:28:19-04:00,12,"feat(mak): add local discernment ingest gate","feat: add durable MAK conductor shadow circuit",high,mak_plataforma,mak_conductor,stdlib,keep candidate,"Exact source journey; likely first-working ingest gate, not confirmed decision; no extraction run"
/home/mak/plataforma/discernment.py,LUNA-10,runtime,LIVE/ADOPTABLE,"corresponding source journey; exact runtime path absent",MAK,2026-08-05T09:05:12-04:00,2026-08-12T08:28:19-04:00,12,"feat(mak): add local discernment ingest gate","feat: add durable MAK conductor shadow circuit",medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime traced through exact source journey; no independent Git path proof"
/home/mak/flujo/cultura/mak_plataforma/mineria_rd.py,LUNA-10,source,LIVE/ADOPTABLE,"codex/three-plane-consolidation;iskvw;main;mak;mak-svg;rd",MAK,2026-07-22T16:13:14-04:00,2026-08-12T08:28:19-04:00,4,"feat(mak): mineria_rd -- OCR+vision sobre carpeta RD, candidatos via PR (F3d) (#159)","feat: add durable MAK conductor shadow circuit",high,mak_plataforma,mak_conductor,stdlib,keep candidate,"Exact source journey; first-working OCR/vision path signal; dependency fit needs bounded contract review"
/home/mak/plataforma/mineria_rd.py,LUNA-10,runtime,LIVE/ADOPTABLE,"corresponding source journey; exact runtime path absent",MAK,2026-07-22T16:13:14-04:00,2026-08-12T08:28:19-04:00,4,"feat(mak): mineria_rd -- OCR+vision sobre carpeta RD, candidatos via PR (F3d) (#159)","feat: add durable MAK conductor shadow circuit",medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime traced through exact source journey; no independent Git path proof"
/home/mak/flujo/cultura/mak_plataforma/revisor.py,LUNA-10,source,LIVE/ADOPTABLE,"codex/three-plane-consolidation;iskvw;main;mak;mak-svg;rd",MAK,2026-07-20T12:14:25-04:00,2026-08-12T08:28:19-04:00,6,"feat(mak): revisor + expulsion (gobierno del organismo) (#105)","feat: add durable MAK conductor shadow circuit",high,mak_plataforma,mak_conductor,stdlib,keep candidate,"Exact source journey; governance purpose inferred from subject and triage aliases"
/home/mak/plataforma/revisor.py,LUNA-10,runtime,LIVE/ADOPTABLE,"corresponding source journey; exact runtime path absent",MAK,2026-07-20T12:14:25-04:00,2026-08-12T08:28:19-04:00,6,"feat(mak): revisor + expulsion (gobierno del organismo) (#105)","feat: add durable MAK conductor shadow circuit",medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime traced through exact source journey; no independent Git path proof"
/home/mak/flujo/cultura/mak_plataforma/capataz.py,LUNA-10,source,LIVE/ADOPTABLE,"codex/three-plane-consolidation;iskvw;main;mak;mak-svg;rd",MAK,2026-07-20T19:58:48-04:00,2026-08-12T08:28:19-04:00,11,"feat(mak): capataz/agente_real/chat_agente al espejo del repo -- gobernados por merge (#118)","feat: add durable MAK conductor shadow circuit",high,mak_plataforma,mak_conductor,stdlib,keep candidate,"Exact source journey; guard/watchdog role inferred; no worker/guard started"
/home/mak/plataforma/capataz.py,LUNA-10,runtime,LIVE/ADOPTABLE,"corresponding source journey; exact runtime path absent",MAK,2026-07-20T19:58:48-04:00,2026-08-12T08:28:19-04:00,11,"feat(mak): capataz/agente_real/chat_agente al espejo del repo -- gobernados por merge (#118)","feat: add durable MAK conductor shadow circuit",medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime traced through exact source journey; no independent Git path proof"
/home/mak/flujo/cultura/mak_plataforma/junta.py,LUNA-10,source,LIVE/ADOPTABLE,"codex/three-plane-consolidation;iskvw;main;mak;mak-svg;rd",MAK,2026-07-20T12:42:52-04:00,2026-08-12T08:28:19-04:00,5,"feat(mak): junta.py -- reflexion diaria con postura (carga CAPATAZ) (#106)","feat: add durable MAK conductor shadow circuit",high,mak_plataforma,mak_conductor,stdlib,keep candidate,"Exact source journey; scheduled/timer alias does not prove a service or cron decision"
/home/mak/plataforma/junta.py,LUNA-10,runtime,LIVE/ADOPTABLE,"corresponding source journey; exact runtime path absent",MAK,2026-07-20T12:42:52-04:00,2026-08-12T08:28:19-04:00,5,"feat(mak): junta.py -- reflexion diaria con postura (carga CAPATAZ) (#106)","feat: add durable MAK conductor shadow circuit",medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime traced through exact source journey; no independent Git path proof"
/home/mak/flujo/cultura/mak_plataforma/latido.py,LUNA-10,source,LIVE/ADOPTABLE,"codex/three-plane-consolidation;iskvw;main;mak;mak-svg;rd",MAK,2026-07-30T16:50:09-04:00,2026-08-12T08:28:19-04:00,3,"feat(mak): source gate, watsonx verified on both machines, and code that lived on one disk (#405)","feat: add durable MAK conductor shadow circuit",high,mak_plataforma,mak_conductor,stdlib,keep candidate,"Exact source journey; first-working source/health gate signal; no heartbeat process started"
/home/mak/plataforma/latido.py,LUNA-10,runtime,LIVE/ADOPTABLE,"corresponding source journey; exact runtime path absent",MAK,2026-07-30T16:50:09-04:00,2026-08-12T08:28:19-04:00,3,"feat(mak): source gate, watsonx verified on both machines, and code that lived on one disk (#405)","feat: add durable MAK conductor shadow circuit",medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime traced through exact source journey; no independent Git path proof"
/home/mak/flujo/cultura/mak_plataforma/material.py,LUNA-10,source,LIVE/ADOPTABLE,"codex/three-plane-consolidation;iskvw;main;mak;mak-svg;rd",MAK,2026-07-26T21:25:48-04:00,2026-08-12T08:28:19-04:00,7,"MAK trabaja sobre tu material, no sobre su propia salida (#316)","feat: add durable MAK conductor shadow circuit",high,mak_plataforma,mak_conductor,stdlib,keep candidate,"Exact source journey; directory/delivery purpose inferred with physical hash pair evidence"
