objective,status,remaining_gate
1,DEFERRED_EMPTY_DATA,authorized real field dataset
2,VERIFIED,preserve provenance
3,FIXTURE_VERIFIED_WITH_ROLLBACK,authorized production foreground run
4,DRYRUN_VERIFIED_CONTRACT_ACCEPTED,provider-backed run
5,RUNTIME_VERIFIED_PARTIAL,pytest full test gate
6,RUNTIME_VERIFIED_PARTIAL,human delivery source manifest
7,CORE_VERIFIED_WEB_BLOCKED,supported runtime or dependency authority
8,PROJECTION_OWNERSHIP_CLOSED_PARTIAL,place data output document roles
9,PARTIAL_CONSOLIDATED,semantic human-output comparison
10,PROJECTION_OWNERSHIP_CLOSED_PARTIAL,RD and external consumer boundaries
11,RUNTIME_PARTIAL,pytest and remaining external surfaces
12,PARTIAL_CONFIRMED,path-specific cleanup candidates only
13,PROPOSED_NOT_APPLIED,physical closure and explicit Git action
