path,layer,exists,size_bytes,sha256,status,owner_candidate,consumer_candidate,dependency_candidate,language_aliases,verification,decision,notes
/home/mak/flujo/cultura/mak_plataforma/ledger.py,source,true,34051,7e7cb2ffdad7dc35750803f831edcf823631443cd36d972cb9da3ded934d11ae,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+mak_curatoria,stdlib,"plataforma|platform|trabajo|work|cola|queue|bitacora|bitácora|ledger|estado|state|curatoria|curation|conductor|dispatcher",import+AST foreground exit 0,no_change,"Owner/consumer/dependency contract evidenced by PHASE8; no promotion needed"
/home/mak/flujo/cultura/mak_plataforma/trabajo.py,source,true,46113,8c2bfa74308611b0cee718ecb391ef57bc0c1419c0d77bfc230aa1ab40cb063b,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"plataforma|platform|trabajo|work|job|task|estado|state|cola|queue",AST+help foreground exit 0,no_change,"Registry reference and help verified; no job executed"
/home/mak/flujo/cultura/mak_plataforma/providers.py,source,true,19990,e344564b3ae0f2640e369e52801e1d6ab5be900cdc05b22675a9537e36ec6153,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+flujo.autonomia,stdlib,"plataforma|platform|proveedor|provider|estado|state|salud|health",import+AST foreground exit 0,no_change,"Referenced by registry/autonomia; no external provider called"
/home/mak/flujo/cultura/mak_plataforma/discernment.py,source,true,17816,8e22b01ffa31b50b5833c40bd3268c77273c36d58e5fc6fbfb844e70e348d0e8,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"discernimiento|discernment|estado|state|curatoria|curation",import+AST foreground exit 0,no_change,"Registry import verified"
/home/mak/flujo/cultura/mak_plataforma/mineria_rd.py,source,true,28055,442ca9d8de0f5c42aafdb93101159bccc6fb769d68f693f5d12f753f2dfbdb13,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"mineria|mining|entrega|delivery|salud|health",import+AST foreground exit 0,no_change,"Registry import verified; no extraction run"
/home/mak/flujo/cultura/mak_plataforma/visual_index.py,source,true,34720,af869bad65daaf7321088ca1c8f46e7ef4ba833fd610d8e6e6d1056c27919dc6,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+mak_curatoria,stdlib,"visual|indice|index|curatoria|curation|ruta|route",import+AST foreground exit 0,no_change,"Registry and ingesta references verified"
/home/mak/flujo/cultura/mak_plataforma/tandas.py,source,true,59706,e20b383e15fbb2701173c993153d7d1a7a094849680587eceb95ffd513288e1a,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+flujo.autonomia,stdlib,"tandas|batch|trabajo|work|cola|queue|pendiente|pending",import+help foreground exit 0,no_change,"Registry/autonomia/CLI references verified; live queue not touched"
/home/mak/flujo/cultura/mak_plataforma/revisor.py,source,true,14134,8442b74ebfe9f984591420458223ac6518dc68455b269f333e0425ee3bfdbfff,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"revisor|reviewer|curatoria|curation|estado|state",import+AST foreground exit 0,no_change,"Registry import verified"
/home/mak/flujo/cultura/mak_plataforma/capataz.py,source,true,26295,af41076e5305e44bdeb4e241921bc3917cd85160df93baa6c6e1c0e9195ebd87,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"capataz|foreman|guardia|watchdog|estado|state",import+AST foreground exit 0,no_change,"Registry import verified; no worker/guardia started"
/home/mak/flujo/cultura/mak_plataforma/junta.py,source,true,13593,b472f79ba666addd1e05063217ccbd37464ca5dd5fc10c9b21236e4d4dda5c1f,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"junta|board|estado|state|cron|timer",import+AST foreground exit 0,no_change,"Registry import verified; no cron/service execution"
/home/mak/flujo/cultura/mak_plataforma/latido.py,source,true,6014,c8dfb331b1edd0d7ed91827ab5addc14039685d11ba1702fb8c5bd720c6c96ab,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"latido|heartbeat|salud|health|estado|state|vigia|watchdog",import+AST foreground exit 0,no_change,"Registry import verified; no heartbeat process"
/home/mak/flujo/cultura/mak_plataforma/material.py,source,true,20211,2e97705658378a98f41b07e47f366846b3c0ba5fdb8180dcf83db3537b59f208,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"material|material|entrega|delivery|carpeta|directory",import+AST foreground exit 0,no_change,"Registry import verified"
/home/mak/flujo/cultura/mak_plataforma/backlog_codex.py,source,true,8028,73763c3a9227e4d110cb389d2f676452ba679f5ca1219c77ce6a620a362cd847,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"backlog|cola|queue|pendiente|pending|trabajo|work",import+AST foreground exit 0,no_change,"Registry import verified; no backlog mutation"
/home/mak/flujo/cultura/mak_plataforma/entregar.py,source,true,16975,0e63223d20136b21b220b432f37d0cff3809a8ccf1b3b639863d273551d9270b,BLOCKED,platform.entregar.main,mak_conductor,stdlib+filesystem+git+gh,"entrega|delivery|deliver|output|estado|state|bitacora|ledger|lock",source inspection; no execution,no_change,"Dry path acquires lock and appends log; non-dry path reaches git/gh"
/home/mak/flujo/cultura/mak_plataforma/puente_issues.py,source,true,25866,e1bc8880c9191822db01f44e5b2dcac29016ac9213532e279ec2a9982a705659,BLOCKED,platform.puente_issues.una_pasada,mak_conductor,gh+SQLite+filesystem,"issue|render|investigacion|research|cola|queue|entrega|delivery",source inspection; no execution,no_change,"Dry path retains network/persistent observation boundary"
/home/mak/plataforma/ledger.py,runtime,true,34051,7e7cb2ffdad7dc35750803f831edcf823631443cd36d972cb9da3ded934d11ae,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+mak_curatoria,stdlib,"plataforma|platform|ledger|bitacora|bitácora|estado|state|cola|queue",import+AST foreground exit 0,no_change,"Runtime contract matches source; no data operation"
/home/mak/plataforma/trabajo.py,runtime,true,46113,8c2bfa74308611b0cee718ecb391ef57bc0c1419c0d77bfc230aa1ab40cb063b,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"plataforma|platform|trabajo|work|job|task|estado|state",AST+help foreground exit 0,no_change,"Runtime equals source; no job executed"
/home/mak/plataforma/providers.py,runtime,true,19990,e344564b3ae0f2640e369e52801e1d6ab5be900cdc05b22675a9537e36ec6153,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+flujo.autonomia,stdlib,"plataforma|platform|provider|proveedor|salud|health",import+AST foreground exit 0,no_change,"Runtime equals source; no external provider called"
/home/mak/plataforma/discernment.py,runtime,true,17816,8e22b01ffa31b50b5833c40bd3268c77273c36d58e5fc6fbfb844e70e348d0e8,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"discernimiento|discernment|estado|state",import+AST foreground exit 0,no_change,"Runtime equals source"
/home/mak/plataforma/mineria_rd.py,runtime,true,28055,442ca9d8de0f5c42aafdb93101159bccc6fb769d68f693f5d12f753f2dfbdb13,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"mineria|mining|entrega|delivery",import+AST foreground exit 0,no_change,"Runtime equals source"
/home/mak/plataforma/visual_index.py,runtime,true,34720,af869bad65daaf7321088ca1c8f46e7ef4ba833fd610d8e6e6d1056c27919dc6,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+mak_curatoria,stdlib,"indice|index|visual|curatoria|curation",import+AST foreground exit 0,no_change,"Runtime equals source"
/home/mak/plataforma/tandas.py,runtime,true,59820,18f6b3c839c2cda43b1b216144590c5f32fa51046a84e3efd56e577b7a35908c,LIVE/ADOPTABLE,mak_plataforma,mak_conductor+flujo.autonomia,stdlib,"tandas|batch|cola|queue|pending|pendiente",import+help foreground exit 0,no_change,"Runtime differs from source; contract not promoted beyond verified imports"
/home/mak/plataforma/revisor.py,runtime,true,14134,8442b74ebfe9f984591420458223ac6518dc68455b269f333e0425ee3bfdbfff,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"revisor|reviewer|curatoria|curation",import+AST foreground exit 0,no_change,"Runtime equals source"
/home/mak/plataforma/capataz.py,runtime,true,26295,af41076e5305e44bdeb4e241921bc3917cd85160df93baa6c6e1c0e9195ebd87,LIVE/ADOPTABLE,mak_plataforma,mak_conductor,stdlib,"capataz|foreman|guardia|watchdog",import+AST foreground exit 0,no_change,"Runtime equals source"
