"path","result","disposition","verification"
"/home/mak/install_mak.sh","already absent; SHA preserved in phase339 quarantine","already quarantined; no new move","exact hash/mode/size checked"
"/home/mak/instalar.sh","already absent; SHA preserved in phase339 quarantine","already quarantined; no new move","exact hash/mode/size checked"
"/home/mak/GENESIS.md","document/config evidence","preserve","root metadata and reference scan"
"/home/mak/PENDIENTES_SUDO.md","human pending note","preserve","root metadata"
"/home/mak/Modelfile","model configuration","preserve; no provider action","root metadata"
"/home/mak/cli_watsonx.py","external provider utility; no active consumer","preserve; provider gate closed","py_compile exit 0"
"/home/mak/oi-qwen.py","external/model utility; no active consumer","preserve; no execution","py_compile exit 0"
"/home/mak/diag-barrier-now.sh","diagnostic utility","preserve; no execution","bash -n exit 0"
"/home/mak/diag-kvm-linux.sh","diagnostic utility","preserve; no execution","bash -n exit 0"
"/home/mak/diag-red-linux.sh","diagnostic utility","preserve; no execution","bash -n exit 0"
"/home/mak/crontab.bak-20260727","scheduler evidence","preserve; never install","metadata only"
"/home/mak/OneDrive","disconnected mount","leave untouched","metadata lookup error: endpoint disconnected"
