path,layer,exists,size_bytes,sha256,status,owner_candidate,consumer_candidate,dependency_candidate,language_aliases,verification,decision,notes
"/home/mak/flujo/cultura/mak_plataforma/trabajo.py","source","true","46113","8c2bfa74308611b0cee718ecb391ef57bc0c1419c0d77bfc230aa1ab40cb063b","DEFER","mak_plataforma","cultura.mak_conductor.handler_registry","stdlib; local runtime; roles; research_router; backlog; material; loopback services","trabajo/work/job/task; plataforma/platform; estado/state/status; cola/queue/backlog/pending; conductor/dispatcher/runner/handler/worker; servicio/service; cron/timer/crontab/scheduled; ruta/route/path; respaldo/backup/archive/restore; legado/legacy; parche/patch","AST PASS; hash equal; no main/import execution","defer_side_effect_contract","Writes state/log/JSONL/queue; fcntl/RLock; loopback HTTP; rollback fixture absent."
"/home/mak/plataforma/trabajo.py","runtime","true","46113","8c2bfa74308611b0cee718ecb391ef57bc0c1419c0d77bfc230aa1ab40cb063b","DEFER","mak_plataforma","cultura.mak_conductor.handler_registry","stdlib; local runtime; roles; research_router; backlog; material; loopback services","trabajo/work/job/task; plataforma/platform; estado/state/status; cola/queue/backlog/pending; conductor/dispatcher/runner/handler/worker; servicio/service; cron/timer/crontab/scheduled; ruta/route/path; respaldo/backup/archive/restore; legado/legacy; parche/patch","Runtime metadata/hash only; byte-identical to source; content intentionally not inspected. AST PASS; hash equal; no main/import execution","defer_side_effect_contract","Writes state/log/JSONL/queue; fcntl/RLock; loopback HTTP; rollback fixture absent."
"/home/mak/flujo/cultura/mak_plataforma/discernment.py","source","true","17816","8e22b01ffa31b50b5833c40bd3268c77273c36d58e5fc6fbfb844e70e348d0e8","ADOPTABLE_CANDIDATE","mak_plataforma","cultura.mak_conductor.handler_registry","stdlib; local runtime; optional Ollama","plataforma/platform; investigación/investigacion/research; curatoria/curation/curate; estado/state/status; conductor/dispatcher/runner/handler/worker; cola/queue/backlog/pending; salida/output; legado/legacy; parche/patch","AST PASS; producer/stage found; no direct persistent write pattern","candidate_only_no_promotion","Bounded local Ollama timeout and shared GPU lease; endpoint/import/fixture pending."
"/home/mak/plataforma/discernment.py","runtime","true","17816","8e22b01ffa31b50b5833c40bd3268c77273c36d58e5fc6fbfb844e70e348d0e8","ADOPTABLE_CANDIDATE","mak_plataforma","cultura.mak_conductor.handler_registry","stdlib; local runtime; optional Ollama","plataforma/platform; investigación/investigacion/research; curatoria/curation/curate; estado/state/status; conductor/dispatcher/runner/handler/worker; cola/queue/backlog/pending; salida/output; legado/legacy; parche/patch","Runtime metadata/hash only; byte-identical to source; content intentionally not inspected. AST PASS; producer/stage found; no direct persistent write pattern","candidate_only_no_promotion","Bounded local Ollama timeout and shared GPU lease; endpoint/import/fixture pending."
"/home/mak/flujo/cultura/mak_plataforma/mineria_rd.py","source","true","28055","442ca9d8de0f5c42aafdb93101159bccc6fb769d68f693f5d12f753f2dfbdb13","DEFER","mak_plataforma","cultura.mak_conductor.handler_registry","stdlib; local runtime; pdftotext; tesseract; Ollama; RD/data roots","plataforma/platform; investigación/investigacion/research; entrega/delivery/deliver/output; carpeta/directory/dir/ruta/route/path; estado/state/status; cola/queue/backlog/pending; respaldo/backup/archive/restore; servicio/service; conductor/dispatcher/runner/handler/worker; parche/patch","AST PASS; --help exit 0; no subcommand run","defer_disposable_fixture","OCR subprocess; Ollama; resumable state/JSONL/proposal writes; GPU lease."
"/home/mak/plataforma/mineria_rd.py","runtime","true","28055","442ca9d8de0f5c42aafdb93101159bccc6fb769d68f693f5d12f753f2dfbdb13","DEFER","mak_plataforma","cultura.mak_conductor.handler_registry","stdlib; local runtime; pdftotext; tesseract; Ollama; RD/data roots","plataforma/platform; investigación/investigacion/research; entrega/delivery/deliver/output; carpeta/directory/dir/ruta/route/path; estado/state/status; cola/queue/backlog/pending; respaldo/backup/archive/restore; servicio/service; conductor/dispatcher/runner/handler/worker; parche/patch","Runtime metadata/hash only; byte-identical to source; content intentionally not inspected. AST PASS; --help exit 0; no subcommand run","defer_disposable_fixture","OCR subprocess; Ollama; resumable state/JSONL/proposal writes; GPU lease."
"/home/mak/flujo/cultura/mak_plataforma/revisor.py","source","true","14134","8442b74ebfe9f984591420458223ac6518dc68455b269f333e0425ee3bfdbfff","DEFER","mak_plataforma","cultura.mak_conductor.handler_registry","stdlib; local runtime; gh; Git/remote PR access","plataforma/platform; entrega/delivery/deliver/output; conductor/dispatcher/runner/handler/worker; servicio/service; cron/timer/crontab/scheduled; respaldo/backup/archive/restore; legado/legacy; parche/patch","AST PASS; --help exit 0; no PR/subprocess execution","defer_external_mutation","Default writes log/shadow; enforce can fetch/show and merge PRs; rollback absent."
"/home/mak/plataforma/revisor.py","runtime","true","14134","8442b74ebfe9f984591420458223ac6518dc68455b269f333e0425ee3bfdbfff","DEFER","mak_plataforma","cultura.mak_conductor.handler_registry","stdlib; local runtime; gh; Git/remote PR access","plataforma/platform; entrega/delivery/deliver/output; conductor/dispatcher/runner/handler/worker; servicio/service; cron/timer/crontab/scheduled; respaldo/backup/archive/restore; legado/legacy; parche/patch","Runtime metadata/hash only; byte-identical to source; content intentionally not inspected. AST PASS; --help exit 0; no PR/subprocess execution","defer_external_mutation","Default writes log/shadow; enforce can fetch/show and merge PRs; rollback absent."
"/home/mak/flujo/cultura/mak_plataforma/capataz.py","source","true","26295","af41076e5305e44bdeb4e241921bc3917cd85160df93baa6c6e1c0e9195ebd87","DEFER","mak_plataforma","cultura.mak_conductor.handler_registry","stdlib; local runtime; research_lib LLM; junta; mantenimiento; subprocess; loopback services","plataforma/platform; guardia/watchdog/guardian/vigia; bitácora/bitacora/log/ledger/journal; estado/state/status/salud/health; cola/queue/backlog/pending; conductor/dispatcher/runner/handler/worker; entrega/delivery/deliver/output; servicio/service; cron/timer/crontab/scheduled; respaldo/backup/archive/restore; parche/patch","AST PASS; no main execution","defer_human_gate","Writes state under lock; subprocess/HTTP/LLM; can invoke revisor --enforce."
"/home/mak/plataforma/capataz.py","runtime","true","26295","af41076e5305e44bdeb4e241921bc3917cd85160df93baa6c6e1c0e9195ebd87","DEFER","mak_plataforma","cultura.mak_conductor.handler_registry","stdlib; local runtime; research_lib LLM; junta; mantenimiento; subprocess; loopback services","plataforma/platform; guardia/watchdog/guardian/vigia; bitácora/bitacora/log/ledger/journal; estado/state/status/salud/health; cola/queue/backlog/pending; conductor/dispatcher/runner/handler/worker; entrega/delivery/deliver/output; servicio/service; cron/timer/crontab/scheduled; respaldo/backup/archive/restore; parche/patch","Runtime metadata/hash only; byte-identical to source; content intentionally not inspected. AST PASS; no main execution","defer_human_gate","Writes state under lock; subprocess/HTTP/LLM; can invoke revisor --enforce."
