path,category,role,language,platform,source_or_derived,consumer,dependency,test_status,recommendation,confidence,risk,rollback,notes
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/DIMENSIONES_DEL_ORDEN_ARCHITECTURE.md,documentation,canonical architecture,Markdown,portable,source_document,Curatoria|Cultura/MAK,none,read complete; sha256 verified,adoptar,high,scope claims need snapshot labels,remove future copied summary,6493 bytes; read-only virtual order invariants
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/OBJETIVO_V1_ESTABLE.md,documentation,acceptance contract,Markdown,portable,source_document,Curatoria|Cultura/MAK,none,read complete,adoptar,high,scope alignment is false,remove future copied summary,3857 bytes; physical gate remains closed
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/capacidades_orden.md,documentation,technical canonical description,Markdown,portable,source_document,Curatoria|Research,none,read complete,adoptar,high,large historical claims need scope labels,remove future copied summary,19293 bytes; pipeline and limits
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/IA_TOOLCHAIN_REVIEW.md,documentation,Git tool policy,Markdown,portable,evidence_document,Curatoria|Cultura/MAK,none,read complete,adoptar,high,tool availability can change,remove future policy copy,4534 bytes; Code Maat needs Java; Repowise writes root cache
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/FUNDING_OS_INTEGRACION.md,documentation,funding bridge contract,Markdown,portable,evidence_document,Research,none,funding_os_v0.4.zip absent; report read,adaptar,high,zero projects and matches,remove future adapter only,3650 bytes; opportunity is candidate not application
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/catalog_tool.py,source_functional,mechanical catalog CLI,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,adaptar,medium,duplicates MAK inventory,disable wrapper; preserve external DB,10908 bytes; writes catalog DB
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/catalog_report.py,source_functional,catalog summary CLI,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,envolver como CLI,medium,hard-coded local DB path,remove wrapper only; keep DB external,1937 bytes; read summary only
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/catalog_dashboard.py,presentation,dashboard generator,Python,Windows-biased,generated,Cultura/MAK,stdlib|sqlite3|C:\ disk,AST and import ok; help exit 1,cuarentenar,high,nonportable disk probe and generated HTML,delete future dashboard output; preserve evidence,12244 bytes; C:\ lookup failed on Linux
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/catalog.sqlite3,data,mechanical inventory SQLite,SQLite,portable,derived,Curatoria,sqlite3,readonly integrity ok; 1077162 file rows, mantener externo,high,636 MB and 49 recorded errors,detach future consumer; keep evidence,651309056 bytes; scan 2 has 1077162 file rows
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_web_catalog.py,source_functional,HTML CSS package catalog,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,adaptar,high,scope excludes many formats,remove adapter only; source DB untouched,22777 bytes; writes derived schema
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_web_system.py,source_functional,resumable web indexer,Python,portable,source,Curatoria,ia_web_catalog|sqlite3,AST import and help all ok,adaptar,high,writes DB and checkpoints,disable CLI; retain external catalog,12889 bytes; sha256 18c024265bad3ef7ded34aefcc7c5f266b61710458e820df4b27641a6fdf73cc
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_web_system_v2.sqlite3,data,rich derived catalog SQLite,SQLite,portable,derived,Curatoria,sqlite3,readonly integrity ok; 65855 files and 908 projects,mantener externo,high,coverage is only 65855 of 1439409,detach read-only mount; no source delete,77406208 bytes; first-slice input only
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_web_finalize.py,source_functional,finalize derived analyses,Python,portable,source,Curatoria,sqlite3,AST import and help all ok,adaptar,medium,mutates derived DB,restore external DB snapshot,5753 bytes; not source mutation but not read-only
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_web_relations.py,source_functional,reference resolution,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,adaptar,medium,derived links can drift,remove future projection only,6254 bytes; writes relation report and DB
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_web_system.sqlite3,data,older partial web catalog,SQLite,portable,evidence,Curatoria,sqlite3,readonly integrity ok; 2349 files and zero projects,conservar como evidencia,high,obsolete partial projection,retain immutable evidence,1847296 bytes; do not merge with v2
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_web_catalog.sqlite3,data,empty catalog schema,SQLite,portable,evidence,none,sqlite3,readonly integrity ok; zero data,cuarentenar,high,empty scaffold can be mistaken for catalog,remove future reference only,65536 bytes plus WAL and SHM; preserve design evidence
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_interface_analysis.py,source_functional,HTML interface heuristics,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,adaptar,medium,heuristics are descriptive only,disable future adapter,15999 bytes; role and scores are evidence
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_interface_clusters.py,source_functional,structural family clustering,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,adaptar,medium,shared scaffold false-clone risk,remove derived cluster projection,21419 bytes; 908 features and 27 clusters
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_package_classify.py,source_functional,package classification,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,mantener externo,medium,package semantics miss creative assets,disable classifier route; keep report evidence,19460 bytes; 907 package rows
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_project_origin.py,source_functional,origin and lineage analyzer,Python,portable,source,Curatoria|Research,stdlib|sqlite3|urllib,AST import and help all ok,adaptar,high,origin is evidence not authorship,remove adapter only; preserve origin evidence,27982 bytes; 238 local_unattributed projects
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_repo_history.py,source_functional,Git history signal,Python,portable,source,Curatoria,stdlib|sqlite3|git,AST import and help all ok,adaptar,medium,history depth changes confidence,remove history adapter; retain reports,18352 bytes; native Git fallback; Code Maat not run
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_order_simulator.py,source_functional,virtual order projection,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,envolver como CLI,high,virtual savings can be misread as real,disable route; keep source DB intact,14465 bytes; 29 queue candidates; zero physical actions
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_automated_curator.py,source_functional,explainable dossier builder,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,adaptar,high,automated decisions need human review,disable bridge; keep dossiers external,18732 bytes; 908 dossiers and 9034 evidence rows
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_work_units.py,source_functional,work-unit aggregator,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,adaptar,high,24 units compress review surface only,remove adapter output; no source mutation,11080 bytes; sha256 9794cd9cdfc12f7c2e3127f1c004412a0b8cff14bc39acb469ed64775efed18e
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_order_review.py,source_functional,human review queue,Python,portable,source,Curatoria,stdlib|sqlite3,AST import and help all ok,envolver como CLI,high,queue output is generated evidence,remove generated queue only,9743 bytes; 29 pending items and zero feedback rows
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_system_audit.py,source_functional,invariant and drift audit,Python,portable,source,Curatoria|Cultura/MAK,stdlib|sqlite3,AST import and help all ok,adoptar,high,metadata drift correctly fails gate,remove future audit wrapper,6898 bytes; current all_checks_pass false
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_v1_benchmark.py,source_functional,acceptance benchmark,Python,portable,evidence_capable,Curatoria|Cultura/MAK,stdlib|sqlite3,AST import and help all ok,adoptar,high,scope alignment prevents physical action,remove future benchmark copy,5295 bytes; physical_gate_open false
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/orden_learning.py,source_functional,method memory writer,Python,portable,source,Curatoria|Cultura/MAK,stdlib|sqlite3,AST import and help all ok,adaptar,high,zero human feedback and writes DB,disable writer; retain evidence DB,84234 bytes; 53 rules; 17 trials; zero reward backed trials
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_feedback_instrumentation.py,source_functional,queue drift reward instrumentation,Python,portable,source,Curatoria|Cultura/MAK,orden_learning|sqlite3,AST import and help all ok,adaptar,high,feedback schema is not MAK ledger,remove adapter only; no DB merge,31101 bytes; additive instrumentation
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_flujo_idea_projection.py,source_functional,idea to material projection,Python,Linux with optional ONNX,derived_capable,Research|Cultura/MAK,numpy|onnxruntime|tokenizers|sqlite3,AST import and help all ok,mantener externo,medium,English MiniLM and threshold need calibration,disable route; keep DB external,29260 bytes; 34 candidate relations; not causality
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_flujo_idea_projection.sqlite3,data,idea projection SQLite,SQLite,portable,derived,Research,sqlite3,readonly integrity ok; 33001 file nodes and 417 fanouts,adaptar,medium,depends on absent archaeology source,remove future export only,9699328 bytes; 16 projects candidate linked; 401 ideas unlinked
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/funding_os_projection.py,source_functional,funding archive adapter,Python,portable,derived_capable,Research,stdlib|sqlite3|zipfile,AST import and help all ok,mantener externo,high,external ZIP absent; no projects or matches,disable funding adapter; keep report evidence,11262 bytes; read-only ZIP contract
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/funding_os_integration_report.json,data,funding report,evidence JSON,portable,evidence,Research,none,JSON valid; report read,conservar como evidencia,high,stale opportunity data and null top fields,remove future pointer only,6716 bytes; 20 opportunities; 143 requirements; 140 tasks
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_pilot_intelligence.py,source_functional,local metadata pilot,Python,portable if PIL and cv2,derived_capable,Research,sqlite3|PIL|cv2,AST import and help all ok,mantener externo,medium,public layer has zero verified matches,remove future pilot route,17026 bytes; 2187 metadata rows; 5 projects
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_pilot_public_matches.py,source_functional,public match pilot,Python,portable,derived_capable,Research,stdlib|sqlite3,AST import and help all ok,conservar como evidencia,high,no public match is not absence,remove future report only,8880 bytes; curated_not_scraped status
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_order_visual_board.html,presentation,visual relation board,HTML,portable,generated,Curatoria,generated JSON and PNG,HTML valid; evidence only,mantener externo,high,HTML is not source and is 1117140 bytes,remove generated view only,visual relation surface
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_family_board.html,presentation,family board,HTML,portable,generated,Curatoria,ia_web_system_v2.sqlite3,HTML valid; evidence only,conservar como evidencia,high,generated board can fossilize stale decisions,remove generated view only,590156 bytes; benchmark references it
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_order_visual_previews,presentation,PNG previews,PNG,portable,generated,Curatoria,Playwright or browser,41 files; hashes sampled,conservar como evidencia,high,preview is not source; duplicate variants,remove regenerated previews only,491602 bytes; no asset promotion
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_order_visual_previews_js,presentation,PNG JS previews,PNG,portable,generated,Curatoria,Playwright or browser,56 files; hashes sampled,conservar como evidencia,high,JS render can differ from source,remove regenerated previews only,694573 bytes; not canonical visual archive
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/ia_web_previews,presentation,HTML preview PNGs,PNG and JSON,portable,generated,Curatoria,Playwright,25 files; JSON and HTML valid; preview module unavailable,mantener externo,high,Playwright unavailable on Linux,remove regenerated previews only,696041 bytes; manifest and images
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/.catalog-env,residue_or_boundary,compiled Windows environment,Python binaries and PE,Windows only,limit,none,Windows Python 3.11.8 and compiled wheels,file PE confirmed; not imported on Linux,cuarentenar,high,nonportable and 8332 files,exclude from runtime; preserve evidence,pyvenv.cfg points to C:\Users\issvk
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/.git,residue_or_boundary,nested Git transport,Git metadata,portable but not authority,limit,none,Git,physical inventory only; status read-only,cuarentenar,high,large objects and dirty generated env,exclude from copy; never sole inventory,6884 files; object sample 95975807 bytes
/home/mak/curatoria_inbox/DIMENSIONES DEL ORDEN/__pycache__,residue_or_boundary,Python bytecode cache,pyc,portable,generated,none,none,not executed; present,cuarentenar,high,stale bytecode is not source,exclude from runtime; no deletion in audit,3308 pyc files in tree-wide count
