path,layer,exists,size_bytes,sha256,status,owner_candidate,consumer_candidate,dependency_candidate,language_aliases,verification,decision,notes
/home/mak/flujo/cultura/mak_research,source,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK research owner,interfaz.py worker.py and platform hub,Python 3.11 urllib provider env queue service,investigacion|investigación|research|trabajo|work|cola|queue|estado|state,metadata+bounded AST 47 files exit 0,BLOCKED,no foreground contract without models providers queues or services
/home/mak/research,runtime,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK research runtime,interfaz.py worker.py and outputs,Python venv env JSONL locks service and external providers,investigacion|investigación|research|trabajo|work|cola|queue|estado|state,depth1 metadata and source/runtime hash comparison,BLOCKED,live-looking runtime data exists but owner consumer dependency and safe verification are incomplete
/home/mak/flujo/cultura/mak_curatoria,source,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK curatoria owner,curatoria runtime and research memory,Python DB/files GPU guard OneDrive paths,curatoria|curation|ficha|record|percepcion|perception|guardia|watchdog,metadata+bounded AST exit 0,BLOCKED,source has ingestion and guardia contracts but no isolated current Debian verification
/home/mak/curatoria,runtime,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK curatoria runtime,research corpus and reports,JSONL logs SQLite/files locks and optional OneDrive,curatoria|curation|ficha|record|estado|state|guardia|watchdog,depth1 metadata only,BLOCKED,persistent outputs and locks prohibit promotion during triage
/home/mak/flujo/cultura/mak_codex,source,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK codex owner,interfaz_codex.py worker_codex.py,Python UI worker service and model/provider boundary,codex|codigo|code|pieza|artifact|trabajo|job|cola|queue,metadata+bounded AST exit 0,BLOCKED,code is parseable but no permitted LLM/provider/worker execution
/home/mak/codex,runtime,true,4096,DIR_HASH_NOT_APPLICABLE,BLOCKED,MAK codex runtime,piezas revisions and job records,SQLite/JSONL locks service and provider boundary,codex|codigo|code|pieza|artifact|trabajo|job|estado|state,depth1 metadata only,BLOCKED,operational-looking state is not foreground adoption evidence
/home/mak/flujo/cultura/mak_research/interfaz.py,source,true,156732,c7cf09854729ee4e83e50a62d5557dd5815d0e805d50ed1d14a471bf33458114,BLOCKED,MAK research,Hub /research/ and research outputs,stdlib plus research_lib env jobs JSONL and LLM providers,investigacion|investigación|research|interfaz|interface|estado|state,AST pass and grep consumer contract; no runtime invocation,BLOCKED,declares consumer and paths but execution would touch jobs outputs or providers
/home/mak/research/interfaz.py,runtime,true,156732,c7cf09854729ee4e83e50a62d5557dd5815d0e805d50ed1d14a471bf33458114,BLOCKED,MAK research,local UI and Hub route,venv env jobs JSONL locks and provider calls,research|interfaz|interface|cola|queue|estado|state,source/runtime hash equality; no service start,BLOCKED,hash equality is not proof of current owner or healthy consumer
/home/mak/flujo/cultura/mak_research/research_lib.py,source,true,62812,020069a00000fe6492a6b5bd3ce4e6dde3792a47cf544f2221c9a35b5702e989,BLOCKED,MAK research,interfaz research worker codex annex,urllib env model providers GPU lease activity ledger,research|investigacion|investigación|proveedor|provider|ledger|bitacora|bitácora,AST pass; import not executed because provider boundary,BLOCKED,dependency contract is external/provider-backed and prohibited to run
/home/mak/research/research_lib.py,runtime,true,62812,020069a00000fe6492a6b5bd3ce4e6dde3792a47cf544f2221c9a35b5702e989,BLOCKED,MAK research,interfaz worker and codex annex,env provider files GPU lease JSONL ledger,research|investigacion|investigación|proveedor|provider|estado|state,hash equality and depth1 metadata,BLOCKED,available runtime artifacts do not establish safe Debian adoption
/home/mak/flujo/cultura/mak_research/worker.py,source,true,18942,6952cfccf72f80fcc5c4342e30ea56b8452c4e3350fa6ed491f741cbc085a4a7,BLOCKED,MAK research,cola.service and codex icon annex,queue lock scripts model provider and persistent events,worker|conductor|dispatcher|cola|queue|investigacion|research|codex,AST pass; not invoked,BLOCKED,worker/queue execution explicitly out of scope
/home/mak/research/worker.py,runtime,true,18942,6952cfccf72f80fcc5c4342e30ea56b8452c4e3350fa6ed491f741cbc085a4a7,BLOCKED,MAK research,job queue and codex annex,locks JSONL events model providers and subprocesses,worker|trabajador|cola|queue|job|tarea|codex,hash equality; no worker run,BLOCKED,pid/lock/job evidence is not health evidence
/home/mak/flujo/cultura/mak_research/interfaz.service,source,true,565,da1e992a255b727a115f92718fc326e5ba629158f1fe76ed89bf3317b6b0ab37,BLOCKED,MAK research,interfaz runtime,systemd env file venv and persistent research paths,servicio|service|unit|interfaz|interface|investigacion|research,read-only text/stat; no systemd action,BLOCKED,declaration exists but permanent service use is prohibited and no foreground contract verified
/home/mak/research/cola.service,runtime,true,404,37e158646db8d76eb73c8b7e514fb646ca64affd5de5d6faf77939b47a077f5f,BLOCKED,MAK research,cola.py worker,systemd env NTFY queue PID and logs,servicio|service|unit|cola|queue|estado|state,read-only text/stat; no service action,BLOCKED,service declaration plus queue side effects require isolated harness
/home/mak/flujo/cultura/mak_curatoria/diagnostico_proyectos.py,source,true,47621,48bf8c1ec4a0e7292ffdc691da5fecca11dd919e46633f187fbb43854616fa5c,BLOCKED,MAK curatoria,research_lib ledger and curatoria outputs,Python platform ledger files and project data,curatoria|curation|diagnostico|diagnostic|estado|state|ledger|bitacora|bitácora,AST pass and real import recorded by Phase 8; no data run,BLOCKED,consumer identified but output/data contract not isolated
/home/mak/curatoria/diagnostico_proyectos.py,runtime,true,47621,48bf8c1ec4a0e7292ffdc691da5fecca11dd919e46633f187fbb43854616fa5c,BLOCKED,MAK curatoria,research memory and project reports,JSONL/files and platform ledger,curatoria|curation|diagnostico|diagnostic|estado|state,source/runtime hash equality and metadata,BLOCKED,equality does not prove operational ownership or consumer health
/home/mak/flujo/cultura/mak_curatoria/percepcion.py,source,true,62675,f3589397262e37651b81f688beaf5a5e4e72b066152679513a335365b4857081,BLOCKED,MAK curatoria,guardia and curatoria output files,Python GPU lock files logs optional external archive,percepcion|perception|curatoria|curation|guardia|watchdog|vigia|guardian,AST pass; no perception run,BLOCKED,execution can mutate logs/data and may require unavailable external surface
/home/mak/curatoria/percepcion.py,runtime,true,62675,f3589397262e37651b81f688beaf5a5e4e72b066152679513a335365b4857081,BLOCKED,MAK curatoria,guardia logs and triangulation output,locks logs JSONL and project files,percepcion|perception|curatoria|curation|salud|health|estado|state,source/runtime hash equality and metadata,BLOCKED,existing outputs are evidence not adoption proof
