id_coste,categoria,concepto,actividad,periodo,cantidad,unidad,precio_unitario,subtotal,producto,proyecto_que_paga,fundamento,origen_del_valor
P-CRE-01,Personal,Asignacion del responsable,"Direccion, diseno, implementacion, mediacion en sala y administracion",2027-04 a 2028-03,1,global,4200000,4200000,Obra producida y mediada,Fondart Creacion 2027,"Asignacion del responsable, bases cap. I.7; tope 40% del solicitado",tope_normativo
O-CRE-01,Operacion,Aporte al espacio anfitrion por cuatro semanas,Uso de sala de exhibicion en la region de ejecucion,2027-09 a 2027-10,1,global,1200000,1200000,Exhibicion realizada,Fondart Creacion 2027,La exhibicion de la obra final es obligatoria segun bases cap. I.3,estimacion
O-CRE-02,Operacion,"Produccion de montaje: iluminacion, cableado y senaletica",Instalar la obra de forma segura y legible,2027-09,1,global,700000,700000,Obra instalada,Fondart Creacion 2027,Condiciones minimas de una instalacion abierta a publico,estimacion
O-CRE-03,Operacion,Impresion de guia de lectura y material de orientacion,Producir la alternativa impresa de la experiencia,2027-09,300,ejemplar,1200,360000,Guia de lectura impresa,Fondart Creacion 2027,Alternativa no digital exigida por el compromiso de accesibilidad,referencia
O-CRE-04,Operacion,Difusion de la exhibicion,Convocar publico a la sala,2027-08 a 2027-10,1,global,550000,550000,Publico convocado,Fondart Creacion 2027,Sin convocatoria dirigida una obra de mesa no recibe visitantes,estimacion
O-CRE-05,Operacion,Traslados de montaje y desmontaje,Mover equipamiento y mobiliario,2027-09 y 2027-11,2,servicio,150000,300000,Montaje y desmontaje ejecutados,Fondart Creacion 2027,Flete de ida y vuelta en la region de ejecucion,referencia
O-CRE-06,Operacion,Auditoria externa de accesibilidad con informe,Servicio puntual con entregable sobre la instalacion montada,2027-08,1,servicio,800000,800000,Informe de accesibilidad,Fondart Creacion 2027,"La accesibilidad se verifica, no se declara",estimacion
O-CRE-07,Operacion,Registro audiovisual de la instalacion,Producir el medio de verificacion del informe final,2027-10,1,servicio,650000,650000,Registro audiovisual de la obra,Fondart Creacion 2027,Las bases exigen adjuntar un medio de verificacion al informe final,estimacion
IN-CRE-01,Inversion,Computador de exhibicion,Ejecutar la version local de la obra durante la exhibicion,2027-05,1,unidad,1300000,1300000,Equipo de exhibicion,Fondart Creacion 2027,Destino posterior declarado: continuidad de exhibiciones y prestamo,referencia
IN-CRE-02,Inversion,Pantalla o proyector,Superficie de visualizacion de la obra,2027-05,1,unidad,900000,900000,Equipo de exhibicion,Fondart Creacion 2027,Destino posterior declarado: continuidad de exhibiciones,referencia
IN-CRE-03,Inversion,"Mesa, soporte y perifericos de navegacion",Soporte fisico de la mesa de montaje,2027-05,1,conjunto,650000,650000,Mobiliario de la obra,Fondart Creacion 2027,Destino posterior declarado: continuidad de exhibiciones,referencia
IN-CRE-04,Inversion,Almacenamiento de respaldo del proyecto,Resguardar la version de exhibicion y su registro,2027-05,1,unidad,280000,280000,Respaldo del proyecto,Fondart Creacion 2027,Destino posterior declarado: respaldo del archivo del titular,referencia
IM-CRE-01,Imprevistos,Imprevistos de ejecucion,Cubrir variaciones acotadas,2027-04 a 2028-03,1,global,200000,200000,Margen de ejecucion,Fondart Creacion 2027,"Tope 2% del solicitado, bases cap. I.7",tope_normativo
