Identity: LUNA-30
package,import_name,windows_version_status,mak_installed_version_status,current_declaration,route_domain_consumer,verification_command,decision
boto3,boto3,1.42.62 imported on Windows,1.43.66 installed/imports,pyproject base; requirements.txt boto3>=1.35.0,cultura/mak_plataforma/providers.py; MAK-local not hub core,"venv metadata/import probe",core-compatible; keep declaration; not minimal RD slice
CairoSVG,cairosvg,2.9.0 imported on Windows,missing/import fails,pyproject render extra cairosvg>=2.9.0,cultura/mak_codex/motor_semantico/rasterizador.py; optional render,"venv metadata/import probe",route-optional; do not add to base
curl_cffi,curl_cffi,0.15.0 imported on Windows,missing/import fails,not declared,src/flujo/eventos/flyer_auto.py and src/flujo/ig/download.py; download branch,"venv metadata/import probe",route-optional; unresolved packaging choice
Flask,flask,3.1.3 imported on Windows,missing/import fails,pyproject dev extra Flask>=3.1.0; requirements-dev.txt Flask>=3.1.0,cultura/mak_xio_puente/staged; not WIN hub route,"venv metadata/import probe",MAK-local/route-optional; do not promote
jsonschema,jsonschema,4.26.0 imported on Windows,4.26.0 installed/imports,pyproject base; requirements.txt jsonschema>=4.26.0,src/flujo/intake/json_parser.py; shared app intake,"venv metadata/import probe",core-compatible; include minimal slice
numpy,numpy,1.26.4 imported on Windows,2.4.6 installed/imports,not direct; transitive via pyproject matplotlib>=3.10.9,cultura/mak_plataforma/visual_index.py; mak_research/memoria.py; CULTURA projects,"venv metadata/import probe",version-drift risk; MAK-local review; not a hub blocker
parth-dl,parth_dl,1.1.0 imported on Windows,missing/import fails,not declared,src/flujo/eventos/flyer_auto.py and src/flujo/ig/download.py; optional acquisition,"venv metadata/import probe",route-optional/unresolved; no base declaration
pillow,PIL,12.3.0 imported on Windows,12.3.0 installed/imports,pyproject render and desktop-extras only; absent base declaration,web.hub and analyze/colors/ocr; RD hub render path,"venv metadata/import probe; hub import",core consumer; declaration gap must be reviewed before slice sign-off
psycopg,psycopg,3.2.9 imported on Windows,missing/import fails,not declared,tools/mak_ops/migrate_unified_knowledge.py; MAK-local migration,"venv metadata/import probe",MAK-local; no hub requirement
pydantic,pydantic,2.13.4 imported on Windows,2.13.4 installed/imports,pyproject base; requirements.txt pydantic>=2.13.4,src/flujo/models.py; shared app models,"venv metadata/import probe",core-compatible; include minimal slice
pyinstaller,PyInstaller,6.20.0 imported on Windows,missing/import fails,pyproject build extra pyinstaller>=6.21.0,src/flujo/cli.py package command; Windows packaging,"venv metadata/import probe",Windows-only/route-optional; not runtime base
PyMuPDF,fitz,1.27.2.3 imported on Windows,missing/import fails,not declared,src/flujo/datadrops.py; optional document intake,"venv metadata/import probe",route-optional; no base declaration
pypdf,pypdf,6.7.5 imported on Windows,missing/import fails,not declared,cultura/mak_research/source_pipeline.py; MAK-local research,"venv metadata/import probe",MAK-local/route-optional; no hub requirement
pystray,pystray,0.19.5 imported on Windows,missing/import fails,pyproject desktop-extras pystray>=0.19.5,src/flujo/web/hub.py desktop branch,"venv metadata/import probe; hub base import",route-optional; desktop branch blocked until provisioned
pywebview,webview,6.2.1 imported on Windows,missing/import fails,pyproject web extra pywebview>=6.2.1,src/flujo/web/hub.py desktop branch,"venv metadata/import probe; hub base import",route-optional; desktop branch blocked until provisioned
PyYAML,yaml,6.0.3 imported on Windows,6.0.3 installed/imports,pyproject base; requirements.txt pyyaml>=6.0.3,src/flujo/jobs/brief.py; rd/database.py; shared RD/CULTURA data,"venv metadata/import probe",core-compatible; include minimal slice
requests,requests,2.34.2 imported on Windows,2.34.2 installed/imports,pyproject base; requirements.txt requests>=2.34.2,src/flujo/export/canva.py; optional export,"venv metadata/import probe",core-compatible declaration; not required by selected local route unless export enabled
rich,rich,15.0.0 imported on Windows,15.0.0 installed/imports,pyproject base; requirements.txt rich>=15.0.0,src/flujo/cli.py console output,"venv metadata/import probe; flujo --help",core-compatible; include minimal slice
torch,torch,2.6.0+cu124 imported on Windows,missing/import fails,not declared,cultura/mak_plataforma/visual_index.py; MAK-local GPU/visual path,"venv metadata/import probe",MAK-local; do not infer from freeze
typer,typer,0.27.0 imported on Windows,0.27.1 installed/imports,pyproject base; requirements.txt typer>=0.27.0,src/flujo/cli.py and cli_addons.py; flujo app/serve entrypoint,"venv metadata/import probe; flujo --help",core-compatible; include minimal slice
vtracer,vtracer,0.6.15 imported on Windows,missing/import fails,not declared,src/flujo/logos/vectorizar.py; optional RD logo/vector branch,"venv metadata/import probe",route-optional; no base declaration
MAK-local unresolved imports,59 unresolved names,unresolved in Windows probe,not a distribution mapping,none; candidates file explicitly says manual review,cultura/mak_plataforma research curatoria codex vigia and tools; no proven full-hub contract,"stdlib JSON summary of unresolved_external_imports",MAK-local/unresolved; no guessed package action
Windows-only Blender imports,"bpy; mathutils; blender_gpu; blender_nodes; blender_nodes_video*",unresolved on Windows probe,not installed/importable on MAK,none,src/flujo/eventos Blender adapters and templates; outside RD/ISKVW/CULTURA hub slice,"stdlib JSON summary; anchor AST/compile",Windows-only; isolate adapter; no Linux base dependency
Globally-conflicted freeze-only set,"broad pip-freeze packages without consumer link",present in Windows freeze only or unrelated transitive,not a FLUJO requirement claim,none; pip-freeze is evidence only,unrelated AI/web/toolchain/providers; no direct hub route,"stdlib freeze inspection; no pip check",globally-conflicted; exclude from gate and do not promote
Unresolved/dynamic sites,"59 unresolved names plus 16 __import__/find_spec sites",static probe cannot resolve runtime target,not mapped,none,mak_conductor handler registry; curatoria diagnostics; analyze.run; MAK ops worker; dynamic branches,"stdlib JSON summary of dynamic_import_sites; AST",unresolved/dynamic; require named consumer before any declaration
