born,path,type,category,owner_measured,notes
2026-07-14,/home/mak/Descargas,d,sistema,sin medir,sin medir
2026-07-14,/home/mak/Documentos,d,sistema,sin medir,sin medir
2026-07-14,/home/mak/Escritorio,d,sistema,sin medir,sin medir
2026-07-14,/home/mak/Imágenes,d,sistema,sin medir,sin medir
2026-07-14,/home/mak/Modelfile,f,sin clasificar,sin medir,sin medir
2026-07-14,/home/mak/Música,d,sistema,sin medir,sin medir
2026-07-14,/home/mak/Plantillas,d,sistema,sin medir,sin medir
2026-07-14,/home/mak/Público,d,sistema,sin medir,sin medir
2026-07-14,/home/mak/Vídeos,d,sistema,sin medir,sin medir
2026-07-14,/home/mak/model-config,d,sistema,sin medir,sin medir
2026-07-15,/home/mak/WhiteSur-icon-theme,d,sistema,sin medir,sin medir
2026-07-15,/home/mak/__pycache__,d,sistema,sin medir,sin medir
2026-07-15,/home/mak/antigravity.launch.log,f,sin clasificar,sin medir,sin medir
2026-07-15,/home/mak/apps,d,vendor,aplicaciones,"duplica con Apps/ por mayuscula, sin medir"
2026-07-15,/home/mak/diag-barrier-now.sh,f,sin clasificar,sin medir,sin medir
2026-07-15,/home/mak/diag-kvm-linux.sh,f,sin clasificar,sin medir,sin medir
2026-07-15,/home/mak/diag-red-linux.sh,f,sin clasificar,sin medir,sin medir
2026-07-15,/home/mak/documentos,d,sistema,sin medir,sin medir
2026-07-15,/home/mak/oi-qwen.py,f,sin clasificar,sin medir,sin medir
2026-07-15,/home/mak/research,d,departamento,"jardines_interpretativos.sqlite, corpus/, intake/","23 tablas/276 filas medidas; 12 sqlite en corpus, 2 en intake; cron pausado"
2026-07-15,/home/mak/venvs,d,runtime,5 entornos Python 3.11.2,ninguno referenciado por ruta; PATH/alias no descartado. No retirado
2026-07-15,/home/mak/vscode.launch.log,f,sin clasificar,sin medir,sin medir
2026-07-16,/home/mak/Apps,d,vendor,aplicaciones,"duplica con apps/ por mayuscula, sin medir"
2026-07-16,/home/mak/GENESIS.md,f,sin clasificar,sin medir,sin medir
2026-07-16,/home/mak/PENDIENTES_SUDO.md,f,sin clasificar,sin medir,sin medir
2026-07-16,/home/mak/backups,d,snapshot,mak-20260809..20260814.tar.gz,el ultimo tar es del dia de la pausa
2026-07-16,/home/mak/codex,d,departamento,agente_libre.py,"objetivo de cron MAK-AGENTE-LIBRE, importa ok, pausado"
2026-07-16,/home/mak/descargas,d,sistema,sin medir,sin medir
2026-07-16,/home/mak/lenguaje,d,departamento,"corregir.py, medir.py, cron_lexicon.sh",docs/GLOSSARY.md lo cita como 'box lenguaje/'; symlink sin bit x
2026-07-16,/home/mak/plataforma,d,organismo,shims de cron + logs + director_runs,"46 shims que delegan al repo, los 46 resuelven; 23 cron PAUSADOS 2026-08-14 19:03"
2026-07-16,/home/mak/xio_puente,d,departamento,monitor.py,sin medir consumidor
2026-07-18,/home/mak/bucle,d,produccion,SVG/PNG,sin medir consumidor
