"objective","status","evidence","next_gate"
"1 RD datos de terreno","OPEN_AUTHORITY_DATA_QUALITY","PHASE371_RD_FIELD_REVIEW_PACKET.md; data/rd_datos.db rows=0","Human review of candidate dates links required fields and privacy"
"2 Fusion de bases RD","VERIFIED_SEPARATE_STORES","Catalog projections merged; data/rd_datos.db integrity ok and empty","Approved schema/data decision before any merge"
"3 Rutas mutadoras RD","STATIC_PASS_LIVE_OPEN","PHASE373_RD_MUTATOR_STATIC_CONTINUITY_GATE.md; 16 POST routes; 5 helpers","One named target mutation with rollback and authority"
"4 Automatización FLUJO","PAUSED_CONFIRMED","EVENTO bridge user-confirmed; cron=0; n8n decoupled","Adapter maintenance only if contract changes"
"5 Comandos sin serve","VERIFIED_LOCAL","Health doctor read CLI render-input and imports pass","Bounded regression checks"
"6 Assets RD","VERIFIED_LOCAL_EXTERNAL_EDGES","Index SVG ZIP catalog/config rescale checks pass","External edge review only for real delivery"
"7 Dependencias","BASE_VERIFIED_OPTIONAL_OPEN","Base pip check=0; optional edges gated","Resolve dependencies per selected slice"
"8 Arquitectura de carpetas MAK","PROPOSED_NOT_MOVED","Physical map and projection owner matrix","Approve owner manifests before moves"
"9 Documentos duplicados","CLASSIFIED_NO_BROAD_DELETE","Provenance ledger and normalized grouping fix","Path-specific quarantine with consumer proof"
"10 Tools equivalentes","OWNER_PARITY_VERIFIED","Six projection families parity/import gates pass","One consumer-family consolidation at a time"
"11 Auditoria completa MAK","LOCAL_PASS_EXTERNAL_OPEN","Health doctor pip AST=371/371 SQLite projection cron gates pass","Authorized external-boundary audit"
"12 Basura confirmada / WIN","LOCAL_CLEANUP_PASS","Regenerable pyc cleanup; reversible quarantines; WIN untouched","Review remaining candidates path-by-path"
"13 Sistema de ramas Git","PROPOSAL_ONLY","PHASE375_GIT_BRANCH_SYSTEM_REFRESH.md","User authorization for worktree snapshot and branch creation"
