objective,status,new_evidence
1,OPEN_AUTHORITY_DATA_QUALITY,review_packet_dates_and_missing_fields
2,VERIFIED_CATALOG_SEPARATE_PRIVACY,catalog_merge_privacy_store_integrity
3,STATIC_PASS_LIVE_AUTHORITY_OPEN,ast_routes_helpers_no_live_write
4,PAUSED_OPERATIONAL,evento_bridge_cron_zero_n8n_decoupled
5,VERIFIED_LOCAL,health_doctor_cli_render_input
6,VERIFIED_LOCAL_EXTERNAL_EDGES,index_svg_zip_config_rescale
7,BASE_VERIFIED_OPTIONAL_OPEN,pip_check_zero_optional_gated
8,PROPOSED_PATHS_NOT_MOVED,physical_root_owner_map
9,CLASSIFIED_NO_BROAD_DELETE,duplicate_ledger_index_fix
10,OWNER_PARITY_VERIFIED,six_projection_families
11,LOCAL_PASS_EXTERNAL_OPEN,health_import_ast_route_projection
12,REGENERABLE_CLEANUP_PASS,pyc_and_confirmed_junk_cleanup
13,PROPOSAL_ONLY,branch_proposal_no_git_mutation
