path,source_phase,layer,classification,history_refs,history_domains,first_touched,last_touched,change_count,first_event_subject,last_event_subject,history_confidence,owner_candidate,consumer_candidate,dependency_candidate,decision,notes
/home/mak/flujo/cultura/mak_plataforma/trabajo.py,PHASE15,source,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,MAK,2026-07-17T21:57:38-04:00,2026-08-07T14:55:50-04:00,timeline:12,"mak: DELETE all token/auth from codex + research (LAN privada Face A)","feat(mak): promote decision lanes and resilient continuation",low-medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Git is orientation only; Phase 15 no_change remains authoritative. Subjects suggest implementation/promotion, not a user decision; no supersession proven."
/home/mak/flujo/cultura/mak_plataforma/providers.py,PHASE15,source,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,MAK,2026-08-05T11:22:17-04:00,2026-08-09T22:14:05-04:00,timeline:5,"feat(mak): promote autonomous batch ledger circuit","feat: close MAK portfolio and README circuit",low-medium,mak_plataforma,mak_conductor+flujo.autonomia,stdlib,keep candidate,"Git is orientation only; Phase 15 no_change remains authoritative. No supersession proven."
/home/mak/flujo/cultura/mak_plataforma/discernment.py,PHASE15,source,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,MAK,2026-08-05T11:22:17-04:00,2026-08-07T14:55:50-04:00,timeline:5,"feat(mak): promote autonomous batch ledger circuit","feat(mak): promote decision lanes and resilient continuation",low-medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Git is orientation only; Phase 15 no_change remains authoritative. No supersession proven."
/home/mak/flujo/cultura/mak_plataforma/mineria_rd.py,PHASE15,source,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"No exact retained journey/event in the summary; no supersession or first-working claim is provable."
/home/mak/flujo/cultura/mak_plataforma/tandas.py,PHASE15,source,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,MAK,2026-08-05T08:49:16-04:00,2026-08-09T04:00:25-04:00,timeline:10,"feat(mak): route research formats and ledger batches","fix: preserve safe opportunity review actions",low-medium,mak_plataforma,mak_conductor+flujo.autonomia,stdlib,keep candidate,"Git is orientation only; Phase 15 no_change remains authoritative. No supersession proven."
/home/mak/flujo/cultura/mak_plataforma/revisor.py,PHASE15,source,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,MAK,2026-08-01T06:42:31-04:00,2026-08-06T16:30:36-04:00,timeline:2,"fix(handoff): el muro 2 afirmaba un borrado que nunca ocurrio (#436)","feat(autonomy): route external batches through MAK",low-medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Git is orientation only; Phase 15 no_change remains authoritative. No supersession proven."
/home/mak/flujo/cultura/mak_plataforma/capataz.py,PHASE15,source,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,MAK,2026-07-20T19:58:48-04:00,2026-08-08T19:01:19-04:00,timeline:3,"feat(mak): capataz/agente_real/chat_agente al espejo del repo -- gobernados por merge (#118)","feat: promote decision spine and portfolio learning",low-medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Git is orientation only; Phase 15 no_change remains authoritative. No supersession proven."
/home/mak/flujo/cultura/mak_plataforma/junta.py,PHASE15,source,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"No exact retained journey/event in the summary; no supersession or first-working claim is provable."
/home/mak/flujo/cultura/mak_plataforma/latido.py,PHASE15,source,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"No exact retained journey/event in the summary; no supersession or first-working claim is provable."
/home/mak/flujo/cultura/mak_plataforma/material.py,PHASE15,source,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,MAK,2026-07-26T21:25:48-04:00,2026-08-01T03:26:03-04:00,timeline:3,"MAK trabaja sobre tu material, no sobre su propia salida (#316)","feat: el circuito micelio da su primera vuelta, y RD sobre 300 archivos corrige la sonda de 10 (#432)",low-medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Git is orientation only; Phase 15 no_change remains authoritative. No supersession proven."
/home/mak/flujo/cultura/mak_plataforma/backlog_codex.py,PHASE15,source,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,MAK,2026-07-20T12:00:11-04:00,2026-08-12T08:28:19-04:00,4,"feat(mak): backlog_codex.py -- el backlog del coder se autorellena (#101)","feat: add durable MAK conductor shadow circuit",medium,mak_plataforma,mak_conductor,stdlib,keep candidate,"Key journey found; Git is orientation only and does not prove a current physical decision."
/home/mak/plataforma/trabajo.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path. Do not infer from source history alone."
/home/mak/plataforma/providers.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor+flujo.autonomia,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path."
/home/mak/plataforma/discernment.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path."
/home/mak/plataforma/mineria_rd.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path."
/home/mak/plataforma/tandas.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor+flujo.autonomia,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path; source/runtime differ in Phase 15."
/home/mak/plataforma/revisor.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path."
/home/mak/plataforma/capataz.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path."
/home/mak/plataforma/junta.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path."
/home/mak/plataforma/latido.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path."
/home/mak/plataforma/material.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path."
/home/mak/plataforma/backlog_codex.py,PHASE15,runtime,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,mak_plataforma,mak_conductor,stdlib,keep candidate,"Runtime consumer is physical MAK; no exact Git journey for this path."
/home/mak/flujo/src/flujo/cli.py,PHASE15,source,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,SHARED_OR_UNKNOWN,2026-06-30T09:49:19-04:00,2026-08-11T22:46:36-04:00,timeline:10,"checkpoint: feat resolume sidecars y svg studio editable v0.48.3","retire obsolete Gemini paths and slow fixture tests",low-medium,flujo maintainer,venv flujo launcher + users,Typer plus project dependencies,keep candidate,"Git is orientation only; Phase 15 no_change remains authoritative. No supersession proven for the physical CLI."
/home/mak/flujo/src/flujo/__main__.py,PHASE15,source,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,flujo maintainer,python -m flujo,src/flujo package,keep candidate,"No exact retained journey/event in the summary; current module entrypoint is established physically by Phase 13."
/home/mak/flujo/src/flujo/autonomia.py,PHASE15,consumer,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,SHARED_OR_UNKNOWN,2026-08-06T16:30:36-04:00,2026-08-06T22:02:41-04:00,timeline:3,"feat(autonomy): route external batches through MAK","fix(mak): include opportunities in autonomy rounds",low-medium,flujo maintainer,flujo CLI autonomy commands,cultura.mak_plataforma ledger/providers/tandas,keep candidate,"Git is orientation only; Phase 15 no_change remains authoritative. No supersession proven."
/home/mak/flujo/pyproject.toml,PHASE15,contract,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,SHARED_OR_UNKNOWN,2026-06-28T04:39:11-04:00,2026-08-13T11:35:03-04:00,28,"Session 313b0d72-3dec-4cbe-9a76-1c0e8c470aec - checkpoint turn 0","feat: establish local three-plane knowledge transport",medium,flujo maintainer,packaging and venv launcher,setuptools Typer pydantic yaml rich jsonschema requests boto3,keep candidate,"Key journey found; dependency declaration is not proof that every dependency is installed."
/home/mak/flujo/cultura/mak_plataforma/ledger.py,PHASE15,platform,LIVE/ADOPTABLE,codex/three-plane-consolidation|iskvw|main|mak|mak-svg|rd,MAK,2026-08-05T08:49:16-04:00,2026-08-09T04:02:39-04:00,timeline:9,"feat(mak): route research formats and ledger batches","fix: preserve opportunity next actions in ledger",low-medium,mak_plataforma,mak_conductor and mak_curatoria,stdlib plus local state paths,keep candidate,"Residual duplicate matrix row; trace retained separately from Phase 16 assigned occurrence. Git does not prove duplicate physical tools."
/home/mak/flujo/scripts/piezas_generar.py,PHASE15,script,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,RD production maintainer,Make render and CI workflow,flujo render run plus render dependencies,defer,"Targeted summary lookup found no exact journey. Keep as candidate, defer execution/output generation until bounded fixture and write boundary are explicit."
/home/mak/flujo/tests/test_cli_smoke.py,PHASE15,test,LIVE/ADOPTABLE,none,unresolved,unknown,unknown,unknown,no exact retained history event,no exact retained history event,low,flujo maintainer,pytest test suite,pytest plus flujo package,defer,"Targeted summary lookup found no exact journey. Keep as candidate, defer until pytest/dependency contract is available."
