"objective","state","evidence","remaining_gate"
"1 RD field data","OPEN","Phase371","Human data/privacy authority"
"2 rd.db fusion","VERIFIED_CATALOG","Canonical catalog plus WIN/state equality","No silent privacy-store merge"
"3 RD mutators","FIXTURE_PASS","16 POST routes and rollback fixtures","Named live write authority"
"4 FLUJO automation","OWNER_VERIFIED_PAUSED","Phase393 bridge owner/runtime gate","External replay request"
"5 Non-serve","LOCAL_PASS","Phase389 foreground checks","New command discovery"
"6 RD assets","LOCAL_FIXTURE_PASS","Asset/render fixture gates","External delivery edge"
"7 Dependencies","BASE_GREEN_OPTIONAL_OPEN","Phase391","Named optional slice"
"8 Folder architecture","DESIGN_READY","Phase386","Physical move rollback"
"9 Duplicate docs","OWNER_ASSIGNED_PRESERVED","Phase392","Editorial/cleanup authority"
"10 Equivalent tools","OWNER_PARITY","Phase370/388","Divergent variants"
"11 Full MAK audit","LOCAL_GREEN_EXTERNAL_OPEN","AST and guard reports","External/live/optional boundaries"
"12 Junk/WIN","LOCAL_CLEANUP_GREEN","Quarantine and bytecode cleanup","New residue proof"
"13 Git branches","PROPOSAL_READY","Phase375","Explicit Git operation request"
