objective,status,remaining_gate
1,DEFERRED_EMPTY_DATA,authorized real dataset
2,VERIFIED,provenance only
3,FIXTURE_VERIFIED_WITH_ROLLBACK,authorized production run
4,DRYRUN_VERIFIED_CONTRACT_ACCEPTED,provider-backed run
5,RUNTIME_VERIFIED_PARTIAL,pytest absent
6,RUNTIME_VERIFIED_PARTIAL,human delivery manifests
7,CORE_VERIFIED_WEB_BLOCKED,Node Rollup pytest qwen-agent
8,DESIGNED_AND_MAPPED,final path moves and manifest closure
9,PARTIAL_CLASSIFIED,semantic human-output decisions
10,PROJECTION_OWNERSHIP_CLOSED_PARTIAL,external and RD tool boundaries
11,RUNTIME_PARTIAL,pytest and gated writers
12,PARTIAL_CONFIRMED,new exact candidates only
13,PROPOSED_NOT_APPLIED,explicit Git operation after closure
