role,win_path,win_mtime,mak_path,mak_exists,content_relation,history_marker,disposition,notes
entrypoint,src/flujo/cli.py,2026-08-12T08:50:21,/home/mak/flujo/src/flujo/cli.py,true,sha_different,6a2b147 MAK lineage marker,MIGRATION_ANCHOR,"WIN declares app and serve; compare command surface before adaptation"
hub_backend,src/flujo/web/hub.py,2026-08-07T07:48:49,/home/mak/flujo/src/flujo/web/hub.py,true,sha_different,6a2b147 MAK lineage marker,MIGRATION_ANCHOR,"WIN backend contains MAK state and hub routing"
serve_backend,src/flujo/serve/server.py,2026-07-28T04:33:11,/home/mak/flujo/src/flujo/serve/server.py,true,sha_equal,pre/post MAK baseline,SAME_BASELINE,"SHA-256 prefix 8d38b2bbdd8a; no content merge indicated"
hub_ui,context/flujo_hub.html,2026-08-14T14:32:01,/home/mak/flujo/context/flujo_hub.html,true,sha_different,hub snapshot plus MAK evolution,MIGRATION_ANCHOR,"WIN snapshot is newer by mtime; inspect routes before choosing UI authority"
windows_launcher,abrir_hub.bat,2026-07-28T05:01:40,/home/mak/flujo/abrir_hub.bat,true,sha_different,pre-MAK FLUJO surface,WINDOWS_ADAPTER,"Adapt launcher semantics to Debian; do not copy .bat literally"
mak_platform_root,cultura/mak_plataforma,2026-08-13T14:00:38,/home/mak/flujo/cultura/mak_plataforma,true,tree_different,6a2b147 first MAK lineage marker,MAK_GENEALOGY,"WIN 113 files; source 109; runtime exists separately"
mak_research_root,cultura/mak_research,2026-08-13T14:00:38,/home/mak/flujo/cultura/mak_research,true,tree_different,6a2b147 first MAK lineage marker,MAK_GENEALOGY,"WIN 74 files; source 72"
mak_codex_root,cultura/mak_codex,2026-08-13T14:00:38,/home/mak/flujo/cultura/mak_codex,true,tree_different,6a2b147 first MAK lineage marker,MAK_GENEALOGY,"WIN and source each 40 files"
mak_conductor_root,cultura/mak_conductor,2026-08-13T14:00:38,/home/mak/flujo/cultura/mak_conductor,true,tree_different,post-6a2b147 MAK evolution,MAK_GENEALOGY,"WIN and source each 21 files"
mak_tools_root,tools/mak,2026-08-13T14:00:09,/home/mak/flujo/tools/mak,true,tree_different,MAK bridge lineage,MIGRATION_REVIEW,"WIN and source each 4 files"
mak_ops_root,tools/mak_ops,2026-08-13T14:00:09,/home/mak/flujo/tools/mak_ops,true,tree_different,MAK operational lineage,MIGRATION_REVIEW,"WIN 29 files; source 25"
rd_root,src/flujo/rd,2026-08-13T14:00:14,/home/mak/flujo/src/flujo/rd,true,tree_different,FLUJO RD lineage,DEPARTMENT_REVIEW,"WIN 15 files; source 18"
iskvw_root,iskvw,2026-08-13T14:00:33,/home/mak/flujo/iskvw,true,tree_different,FLUJO ISKVW lineage,DEPARTMENT_REVIEW,"WIN 463 files; source 462"
