phase,surface,owner,consumer,language_platform,disposition,rollback
237,/home/mak/flujo,canonical source,"CLI hub jobs RD departments","ES/EN Linux",keep owner,"review by write set"
237,/home/mak/WIN,historical archive,provenance,"Windows ES/EN",keep historical read-only,"original path"
237,/home/mak/RD,protected corpus,"RD assets/delivery","Spanish cross-platform",keep protected,"original path"
237,/home/mak/research,runtime projection,Research,"ES/EN Linux",keep runtime,"owner map"
237,/home/mak/codex,runtime projection,Codex,"ES/EN Linux",keep runtime,"owner map"
237,/home/mak/curatoria,runtime projection,Curatoria,"ES/EN Linux",keep runtime,"owner map"
237,/home/mak/plataforma,mixed runtime,platform,"ES/EN Linux",keep mixed,"path-level only"
237,/home/mak/lenguaje,department,language consumers,"Spanish/ASCII Linux",keep department,"owner map"
237,/home/mak/flujo/data/rd.db,catalog owner,RD catalog,"Spanish SQLite Linux",keep catalog,"rebuild sources"
237,/home/mak/flujo/data/rd_datos.db,privacy owner,field ingest/report,"Spanish SQLite Linux",keep separate,"protected backup"
237,/home/mak/labs,derived evidence,reconciliation,"ASCII Linux",keep evidence,"artifact ledger"
237,/home/mak/indexes,derived index,search/catalog,"ASCII Linux",keep derived,"regenerate"
237,/home/mak/flujo-deploy,external deploy owner,mak_sync_safe,"ASCII Linux",keep separate,"deploy rollback"
237,/home/mak/n8n-local,discarded provider,none,"mixed",excluded active,"original evidence"
237,/home/mak/xio_puente,user-excluded bridge,none,"mixed",excluded by user,"original path"
237,/home/mak/tmp,host temp,ad hoc tests,"ASCII Linux",preserve empty contract,"original path"
237,/home/mak/flujo/context/quarantine/phase228_empty_workspace,reversible quarantine,audit,"ASCII Linux",quarantined zero files,"mv back"
237,/home/mak/flujo/context/quarantine/phase229_empty_shell_residue,reversible quarantine,audit,"ASCII Linux",quarantined zero files,"inverse moves"
