path,active_exists,win_exists,active_hash,win_hash,status,consumer,verification,decision,notes
build_director_context.py,false,true,MISSING,3db5b125c467469fcbea0094066ec6430e066870339483b2e0bf31b942ee25ed,win_only,none identified,sha256 pathlib/hashlib; historical snapshot only,no_change,No active owner or dependency identified; WIN is evidence only.
check_mak_mirror.py,true,true,05c1946735b11a0ace9e853bd4a8d3f29d006e407cafb0f71abfd8880d8c3dd1,05c1946735b11a0ace9e853bd4a8d3f29d006e407cafb0f71abfd8880d8c3dd1,same,check_mak_mirror.py,AST parse and --help exit 0; no SSH path reached,no_change,Consumer contract verified; no migration requested.
check_mak_trabajo.py,true,true,877ca524dbd79661298c7277892b6ada446ef768eccdbbaf8fd8972705d7d381,877ca524dbd79661298c7277892b6ada446ef768eccdbbaf8fd8972705d7d381,same,none identified,sha256 pathlib/hashlib,no_change,No owner or dependency in requested consumer scope.
diagnose_instagram_mirror.py,true,true,a6573092db4ce80b905a4eda6eed94a6a13f55874b05a98bc376d6aa099344e7,a6573092db4ce80b905a4eda6eed94a6a13f55874b05a98bc376d6aa099344e7,same,none identified,sha256 pathlib/hashlib,no_change,No owner or dependency in requested consumer scope.
director_snapshot.py,true,true,1dc674f4d1b4a9455bf1d8eff9f1dbb5d6b00ea2a78e10d4845a99cc8457fed8,b3b3c232aa2bab9df4a63907ccd2ab4d4129d459840401756cda216f89193bbf,different,none identified,sha256 plus small-text diff,no_change,Different prompt reference; no owner/dependency and snapshot is historical evidence.
mak-conductor-shadow.service,true,true,8133576d0ab69ff35165389255535b8b8525aff6e6d563f2ca1bd4f4eb40360b,3f04605fbcbbac008fe245d0d1495d678a6a8305b8090a4384e18b174e1ebe3b,different,run_conductor_worker.py,sha256 plus small-text diff; no service start,no_change,Only line-ending difference observed; no service activation permitted.
mak-conductor-shadow.timer,true,true,a47272db798bdfea88c66bf1d3e30c7e55bf960953a6a9521ed522cc771113ec,bb2e9199eaf81917d99b71e9315d7fedc1f73184d29878f286855c00420ee88e,different,mak-conductor-shadow.service,sha256 plus small-text diff; no timer start,no_change,Only line-ending difference observed; no owner/dependency promotion.
migrate_unified_knowledge.py,false,true,MISSING,16561092bd02614dbaa803f0ac2fd9dbaa86add9c632157d9d488c4f14e059d4,win_only,none identified,sha256 pathlib/hashlib,no_change,No active owner or dependency identified; WIN is evidence only.
probe_instagram_sources.py,true,true,257bc2f4bef276bc2d7d13fbe5aa3998ef1e6a58d64cd55ce4ed7d1a439d78ad,257bc2f4bef276bc2d7d13fbe5aa3998ef1e6a58d64cd55ce4ed7d1a439d78ad,same,none identified,sha256 pathlib/hashlib,no_change,No owner or dependency in requested consumer scope.
repair_mak_sync.py,true,true,1eb2a1d794f95322984983811602a60d5be9853594ac4c743aa2367c43c45615,6502982d9bae0c634d0a7b23680fb6320e2bbeb796d847dd8fb2074bb69341b8,different,none identified,sha256 plus small-text diff; not executed,no_change,Historical variant includes remote/Git repair behavior; explicitly out of scope.
run_conductor_shadow_probe.py,true,true,0f8941e7129ddb7a988f9927a1e763cc8fdacfe352cb38b609de3f7e38076311,0f8941e7129ddb7a988f9927a1e763cc8fdacfe352cb38b609de3f7e38076311,same,run_conductor_worker.py,sha256 pathlib/hashlib,no_change,Consumer not started; no promotion from evidence.
run_conductor_source_probe.py,true,true,2d488dfe699895927e5733877a47238d01058d667b768feb3a49286e33d94018,2d488dfe699895927e5733877a47238d01058d667b768feb3a49286e33d94018,same,run_conductor_worker.py,sha256 pathlib/hashlib,no_change,Consumer not started; no promotion from evidence.
run_conductor_worker.py,true,true,c5be9c52af61409ce49e86828264026e2919a1d40d815ac15be001fe6eedea6f,c5be9c52af61409ce49e86828264026e2919a1d40d815ac15be001fe6eedea6f,same,run_conductor_worker.py,AST parse and --help exit 0; no worker start,no_change,Entrypoint contract verified without execution.
sync_mak_safe.py,false,true,MISSING,2016a6bc14df6e58398564e1368ad9e18f5f2cede2f33496c8d2148e69e72684,win_only,none identified,sha256 pathlib/hashlib,no_change,No active owner or dependency identified; WIN is evidence only.
test_issue_render_e2e.py,true,true,86c198a893a6766d49e268720cf183d0d0fe9313d831350f4c7438143d6f6a0f,86c198a893a6766d49e268720cf183d0d0fe9313d831350f4c7438143d6f6a0f,same,none identified,sha256 pathlib/hashlib,no_change,No test execution requested; no owner/dependency in consumer scope.
