path,layer,exists,size_bytes,sha256,status,owner_candidate,consumer_candidate,dependency_candidate,language_aliases,verification,decision,notes
/home/mak/WIN,windows_archive,true,4096,,EVIDENCE_ONLY,unknown historical migration owner,reconciliation and inventory,README_ORIGIN plus manifests,"es:legado|histórico|respaldo|carpeta; en:legacy|historical|backup|directory",Phase1 find/stat; not executed,no_change,"Windows snapshot; existence does not establish Debian owner or consumer"
/home/mak/WIN/README_ORIGIN.md,windows_archive,true,1249,b821df261368d2b65def76e223d8bdac6fdb4f8c80739d4b113d0ce4335d0c4c,EVIDENCE_ONLY,unknown historical migration owner,house-ordering evidence,plain text,"es:origen|legado|evidencia; en:origin|legacy|evidence",sha256/stat/read-only,no_change,"Provenance declaration only"
/home/mak/WIN/claude_sesiones,windows_archive,true,4096,,EVIDENCE_ONLY,recovered-corpus curator,phase review and human gate,session corpus boundary,"es:sesiones|investigación|evidencia; en:sessions|research|evidence",Phase1 bounded find/stat; no execution,no_change,"Recovered sessions and source material; no runtime contract"
/home/mak/WIN/codex,windows_archive,true,4096,,EVIDENCE_ONLY,Codex migration curator,inventory/provenance readers,local state stores and manifests,"es:estado|memoria|registro; en:state|memory|ledger",Phase1 bounded find/stat; sensitive contents not read,no_change,"Historical Codex state; not an active Debian consumer"
/home/mak/WIN/flujo,windows_legacy,true,4096,,WINDOWS_LEGACY,unknown Windows fluxo owner,none verified,Windows venv and batch/PowerShell launchers,"es:flujo|trabajo|entrega|legado; en:flow|work|delivery|legacy",Phase1 find; Phase2 route comparison; not executed,no_change,"Historical Windows tool tree; current Debian contract unproven"
/home/mak/WIN/flujo/pyproject.toml,windows_legacy,true,2369,9957dc776c60feb76b27c77d17035251ed346498be03e3e30594653bd2abb2bf,WINDOWS_LEGACY,unknown Windows fluxo owner,none verified,Windows requirements and venv,"es:plataforma|trabajo|estado; en:platform|work|state",sha256/stat/read-only; no install,no_change,"Manifest is historical evidence, not adoption proof"
/home/mak/WIN/flujo/start.sh,windows_legacy,true,284,4e290ecbc77606a5331511b8af1fe68d70b6e8ae392d95e0265402f6fa546c26,WINDOWS_LEGACY,unknown Windows fluxo owner,none verified,shell plus historical environment,"es:ruta|servicio|legado; en:path|service|legacy",sha256/stat; not executed,no_change,"Historical launcher; no current owner/consumer"
/home/mak/WIN/manifests,windows_archive,true,4096,,EVIDENCE_ONLY,migration/reconciliation curator,phase reconciliation readers,JSON manifests and hashes,"es:manifiesto|estado|respaldo; en:manifest|state|backup",Phase1 selective manifest scan; JSON not modified,no_change,"Manifest generations are provenance; hash divergence is not merge evidence"
/home/mak/WIN/updates-20260813,windows_archive,true,4096,,EVIDENCE_ONLY,migration/reconciliation curator,phase reconciliation readers,incremental snapshots,"es:actualización|reemplazado|evidencia; en:update|superseded|evidence",Phase1 bounded find/stat; no restore,no_change,"Post-transfer update batches retained as evidence"
/home/mak/flujo-deploy,parallel_generation,true,4096,,SUPERSEDED,unknown prior deployment owner,no current consumer verified,standalone source/data/docs plus Windows helpers,"es:despliegue|plataforma|trabajo|entrega|reemplazado; en:deploy|platform|work|delivery|superseded",bounded find/stat; README/pyproject hashes; no import,no_change,"Parallel generation; active baseline is /home/mak/flujo; no current Debian contract"
/home/mak/flujo-deploy/README.md,parallel_generation,true,113,8871511bafebeeaebd373ddf9d0cfdcf8914694e5f197e835c387d247c0d3ba6,SUPERSEDED,unknown prior deployment owner,no current consumer verified,documentation only,"es:despliegue|estado|entrega; en:deploy|state|delivery",sha256/stat/read-only,no_change,"Minimal README does not establish ownership or adoption"
/home/mak/flujo-deploy/pyproject.toml,parallel_generation,true,2009,61879f79b522e2d9a7ceb89453e43fcdceb943a19df2156cce377ea59729c7ff,SUPERSEDED,unknown prior deployment owner,no current consumer verified,package metadata and dependencies,"es:plataforma|dependencia|trabajo; en:platform|dependency|work",sha256/stat/read-only; no install,no_change,"Package metadata alone is not a live contract"
/home/mak/flujo-deploy/abrir_hub.bat,parallel_generation,true,428,80d69039a46ddaa63f4288857b74027777b049fe2c07639c66fe95d9ff376956,WINDOWS_LEGACY,unknown Windows/deploy owner,none verified,batch launcher and Windows hub,"es:servicio|ruta|legado; en:service|path|legacy",sha256/stat; not executed,no_change,"Windows launcher in parallel generation"
