id_coste,categoria,concepto,actividad,periodo,cantidad,unidad,precio_unitario,subtotal,producto,proyecto_que_paga,fundamento,origen_del_valor
P-FOR-01,Personal,Asignacion del responsable,"Diseno del programa, ocho sesiones y cuarenta y ocho horas de tutoria",2027-05 a 2028-04,1,global,3100000,3100000,Programa formativo impartido,Fondart Formativas 2027,"Asignacion del responsable, bases cap. I.7; tope 40% del solicitado",tope_normativo
P-FOR-02,Personal,Diseno grafico y maquetacion de la guia transferible,Servicio con entregable sobre un texto escrito por el titular,2027-12 a 2028-01,1,servicio,800000,800000,Guia transferible publicada,Fondart Formativas 2027,Principal verificador de transferencia del programa,estimacion
P-FOR-03,Personal,Diseno de materiales didacticos y fichas de diagnostico,"Servicio con entregable: fichas, ejercicios y plantillas del laboratorio",2027-06 a 2027-07,1,servicio,450000,450000,Materiales didacticos del laboratorio,Fondart Formativas 2027,Las fichas son el instrumento de medicion del aprendizaje,estimacion
P-FOR-04,Personal,Sistematizacion y analisis de las fichas comparadas,Servicio con informe: comparar las fichas de la sesion 1 y la 8,2028-02 a 2028-03,1,servicio,600000,600000,Informe de resultados de aprendizaje,Fondart Formativas 2027,"Convierte el diagnostico en un dato publicable, incluidos los negativos",estimacion
O-FOR-01,Operacion,Arriendo de sala de trabajo con conectividad,Cuatro sesiones presenciales de tres horas en modalidad mixta,2027-08 a 2027-11,4,sesion,190000,760000,Sesiones presenciales realizadas,Fondart Formativas 2027,Modalidad mixta: solo cuatro de las ocho sesiones requieren sala,estimacion
O-FOR-02,Operacion,Plataforma de videoconferencia con grabacion,Cuatro sesiones en linea y cuarenta y ocho horas de tutoria remota,2027-06 a 2028-03,10,mes,28000,280000,Sesiones y tutorias en linea,Fondart Formativas 2027,Sustituye el arriendo de sala para la mitad del programa y las tutorias,referencia
O-FOR-03,Operacion,Materiales de trabajo y fichas de archivo impresas,Fichas de diagnostico inicial y final por participante,2027-08,16,participante,25000,400000,Fichas comparadas,Fondart Formativas 2027,Las fichas se completan a mano en la sesion presencial,referencia
O-FOR-04,Operacion,Alimentacion en las sesiones presenciales,Sostener cuatro sesiones vespertinas de tres horas,2027-08 a 2027-11,64,racion,4500,288000,Sesiones presenciales sostenidas,Fondart Formativas 2027,Cuatro sesiones presenciales por dieciseis participantes,referencia
O-FOR-05,Operacion,Difusion de la convocatoria abierta,Reunir y seleccionar la cohorte,2027-06 a 2027-07,1,global,500000,500000,Cohorte conformada,Fondart Formativas 2027,"La convocatoria es abierta y gratuita, no por invitacion",estimacion
O-FOR-06,Operacion,Registro documental de las sesiones formativas,Producir el verificador de ejecucion del programa,2027-08 a 2027-11,1,servicio,420000,420000,Registro de las sesiones,Fondart Formativas 2027,Verificador distinto del registro de cualquier otro proyecto,estimacion
O-FOR-07,Operacion,Apoyo de traslado para participantes con dificultad de acceso,Sostener la gratuidad efectiva en las sesiones presenciales,2027-08 a 2027-11,1,fondo,200000,200000,Participacion sin barrera economica,Fondart Formativas 2027,"La modalidad mixta reduce los traslados, no los elimina",estimacion
O-FOR-08,Operacion,Arriendo de dos equipos de prestamo para participantes,Permitir participar a quien no tenga computador propio,2027-08 a 2027-11,8,mes,60000,480000,Participacion sin barrera material,Fondart Formativas 2027,"La linea no contempla item de Inversion: se arrienda, no se compra",estimacion
O-FOR-09,Operacion,Apoyo de conectividad para participantes en las sesiones en linea,Datos moviles para quien no tenga conexion estable,2027-08 a 2027-11,1,fondo,180000,180000,Participacion sin barrera de conectividad,Fondart Formativas 2027,La modalidad mixta no puede excluir a quien no tiene internet,estimacion
IM-FOR-01,Imprevistos,Imprevistos de ejecucion,Cubrir variaciones acotadas,2027-05 a 2028-04,1,global,150000,150000,Margen de ejecucion,Fondart Formativas 2027,"Tope 2% del solicitado, bases cap. I.7",tope_normativo
