"objective","state","evidence","remaining_gate"
"1 RD field data","OPEN","Phase371 review packet; privacy DB empty","Human data/privacy authority"
"2 rd.db fusion","VERIFIED_CATALOG","20-table catalog and equal WIN/state copies","No silent rd_datos.db merge"
"3 RD mutators","FIXTURE_PASS","Phases250,396,398,401; no live write in 403","Named live write authority"
"4 FLUJO automation","OWNER_VERIFIED_PAUSED","Phase393 plus bridge/hub fixtures","External replay/provider authorization"
"5 Non-serve","LOCAL_PASS","Phase389 and Phase403 CLI 2/2","Concrete new consumer"
"6 RD assets","LOCAL_FIXTURE_PASS","Phases347-359 and 401","External delivery/render edge"
"7 Dependencies","BASE_GREEN_OPTIONAL_OPEN","Phase391 base imports and pip check 0","Named optional slice"
"8 Folder architecture","DESIGN_READY","Phase386 owner map","Physical move with rollback"
"9 Duplicate documents","OWNER_ASSIGNED_PRESERVED","Phase392 exact duplicate family","Editorial authority"
"10 Equivalent tools","OWNER_PARITY","Phases363-370 and 388","Consumer-specific variants"
"11 Full MAK audit","LOCAL_GREEN_EXTERNAL_OPEN","68/485 safe; 57 promoted; AST 550/550","Risk queue and live/external boundaries"
"12 Junk/WIN","LOCAL_CLEANUP_GREEN","Reversible quarantine; WIN preserved","Residue and ML owner review"
"13 Git branches","PROPOSAL_READY","Phase375","Explicit Git operation"
