Identity: LUNA-29
id,domain_route,physical_source,current_mak_consumer,proposed_destination,owner_consumer,dependencies,platform_assumptions,evidence_command,status
hub_entrypoint,hub flujo app serve alias,/home/mak/WIN/flujo/src/flujo/cli.py,/home/mak/flujo/src/flujo/cli.py imports flujo.web.hub.launch,keep MAK CLI as migration entrypoint,Flujo CLI / daily operator,Python package Typer Rich flujo.web.hub,Linux foreground optional pywebview desktop,grep -nE 'app|serve|hub.launch|delegate' src/flujo/cli.py,ADOPTABLE_VERTICAL
hub_backend,hub HTTP API root and aliases,/home/mak/WIN/flujo/src/flujo/web/hub.py,/home/mak/flujo/src/flujo/web/hub.py,keep full web.hub as single backend,Flujo hub / browser and desktop UI,stdlib HTTP flujo.serve.server RD plano quote paths,localhost default no network required,grep -nE 'def do_GET|def do_POST|/api/|/visualizer|/plano' src/flujo/web/hub.py,ADOPTABLE_VERTICAL
hub_ui,hub root hub index visualizer plano,/home/mak/WIN/flujo/context/flujo_hub.html,/home/mak/flujo/context/flujo_hub.html plus plano_demo.html and svg_visualizer.html,keep static UI under context,Flujo web / RD and ISKVW users,browser JavaScript static resolver matching API names,Browser direct-file fallback weaker than hub serving,grep -oE '/api/[A-Za-z0-9_/-]+' context/flujo_hub.html | sort -u,ADOPTABLE_VERTICAL
rd_quote_plano,RD quote plano rider render,/home/mak/WIN/flujo/src/flujo/web/hub.py and src/flujo/plano,/home/mak/flujo/src/flujo/plano and src/flujo/cotizaciones_base.py,first migration slice hub UI to MAK quote/plano renderers,RD / event operator and proposal producer,data/rd_packs.json data/cotizacion_servicios.json event JSON render dependencies,local files POST routes later validation,grep -nE 'cotizacion|plano/render|render_plano_api|generar_cotizacion_base' src/flujo/web/hub.py,ADOPTABLE_VERTICAL
rd_database,RD database productoras venues logo,/home/mak/WIN/flujo/src/flujo/web/hub.py and src/flujo/rd,/home/mak/flujo/src/flujo/rd/database.py rd/informe.py data productoras venues knowledge/logos,use existing MAK RD package and data,RD data owner / dashboard and quote UI,SQLite builder JSON catalogues logo files,MAK path layout local read access logo upload deferred,grep -nE '/api/rd-db|_get_rd_db|rd/database|productoras|venues' src/flujo/web/hub.py src/flujo/rd/database.py,ADOPTABLE_VERTICAL
rd_field_summary,RD field data summary,/home/mak/WIN/flujo/src/flujo/web/hub.py and data/rd_datos_demo,/home/mak/flujo/src/flujo/rd/datos.py src/flujo/rd/informe.py data/rd_datos_demo,retain optional RD panel verify fixture availability,RD field/report owner / RD panel,RD data files or database summary serializer,local data demo fallback possible production unknown,grep -nE 'rd-datos-summary|_get_rd_datos_summary|rd_datos' src/flujo/web/hub.py src/flujo/rd/*.py,PARTIAL
rd_automation,RD automation pending work UI,/home/mak/WIN/flujo/src/flujo/web/hub.py plus tools and RD archive,/home/mak/flujo/src/flujo/automation.py src/flujo/jobs /home/mak/RD/AUTOMATIZACION,keep separate reviewed consumer do not activate,RD operations / job operator,jobs datadrops filesystem outputs external creative tools,local filesystem may create outputs no worker,grep -nE 'automatizaciones|auto-pending|automation|AUTOMATIZACION' src/flujo/web/hub.py src/flujo/automation.py,DEFERRED_MUTATING
iskvw_visualizer,ISKVW SVG Studio visualizer,/home/mak/WIN/flujo/src/flujo/web/hub.py context/svg_visualizer.html svg,/home/mak/flujo/src/flujo/web/hub.py context/svg_visualizer.html src/flujo/web/svg_preview.py svg,MAK hub static resolver and existing SVG index,ISKVW / visual editor user,SVG catalog tools portfolio or SVG roots browser,local browser and filesystem no artwork copying,grep -nE 'visualizer|list-svg-works|svg-index|svg_visualizer' src/flujo/web/hub.py context/flujo_hub.html,PARTIAL
iskvw_portfolio,ISKVW portfolio Portafolio,/home/mak/WIN/flujo/src/flujo/web/hub.py tools/portfolio/proyectos.json docs/iskvw/prototipo.html,same MAK hub consumer and docs/iskvw/prototipo.html,keep portfolio catalog in tools/portfolio,ISKVW / portfolio editor and viewer,tools/portfolio/proyectos.json prototype HTML catalog schema,local static catalog publication read-only,grep -nE 'api/portafolio|_get_portafolio|tools/portfolio|prototipo' src/flujo/web/hub.py,PARTIAL
iskvw_showkit,ISKVW Show kit setlist cues,/home/mak/WIN/flujo/src/flujo/web/hub.py and xio/show_kit,/home/mak/flujo/xio/show_kit and hub api/show-kit,MAK xio/show_kit read surface only,ISKVW/XIO operator / show panel,setlist JSON cue records show logs,local files hardware relay deferred,grep -nE 'api/show-kit|_get_show_kit|show_kit' src/flujo/web/hub.py,PARTIAL
