dimension,Fondart Regional CREACION ARTISTICA 2027,Fondart Regional DIFUSION 2027,Fondart Regional ACTIVIDADES FORMATIVAS 2027,Fondart Nacional INVESTIGACION 2027,Becas Fundacion Ama Amoedo 2026 (Artistas)
objeto financiado,Proyectos de creacion artistica orientados desde la innovacion al desarrollo y produccion de OBRAS ORIGINALES,Difusion de OBRAS YA CREADAS. Visibilizacion y circulacion publica con plan de difusion y estrategia de desarrollo de publicos,"Proyectos colectivos de actividades formativas con transferencia efectiva de conocimientos, tecnicas, oficios y saberes",No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Investigacion o creacion artistica. Incluye expresamente archivo y preservacion del propio trabajo
disciplinas,"Artes de la Visualidad, Artesania, Diseno, Arquitectura","Idem, con interdisciplina permitida",Idem,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Artes visuales
responsable admisible,"Persona natural chilena o extranjera con residencia definitiva, mayor de 18, o persona juridica",Idem,Idem. NO exige persona juridica pese a llamarse proyectos colectivos,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,"Artista o colectivo mayor de 18, con titular unico y cuenta bancaria a su nombre"
territorio,"Postular en la region donde se ejecuta. Si hay varias, donde se realicen mas actividades",Idem,Idem,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,"Conexion significativa con America Latina por nacionalidad, herencia cultural o sitio del proyecto"
modalidades,Unica modalidad,Unica modalidad,"Unica modalidad. Tipos admitidos: talleres, residencias, laboratorios, workshop, tutorias, mentorias",No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Cuatro categorias. Solo se puede aplicar a UNA
numero de postulaciones,Una sola por linea. Se considera la ultima enviada,Una sola por linea,Una sola por linea,Una sola por linea,Una sola categoria
seleccion simultanea,Las bases no prohiben postular a lineas distintas. No hay clausula de doble financiamiento en el texto descargado,Idem,Idem,Idem,No pueden aplicar quienes recibieron otro apoyo de la Fundacion en los 12 meses previos a la apertura
incompatibilidades,"Autoridades y trabajadores del Ministerio y SEREMI, honorarios del servicio, evaluadores vigentes, mesas regionales de artesania, sus personas juridicas y equipos. Organos y servicios publicos, salvo municipios, SLEP y universidades estatales",Idem,Idem,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,"Sin fines comerciales. Sin vinculos funcionales, comerciales, laborales o de parentesco hasta segundo grado con la Fundacion o la Sra. Amoedo. No organismos ni instituciones estatales"
restriccion adicional,NO pueden postular responsables seleccionados en la convocatoria 2026 de esta MISMA linea,No se financian proyectos de circulacion de obra y/o contenido,Las actividades NO pueden conducir a grado academico y DEBEN SER GRATUITAS,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,"No para deudas, gastos legales personales ni eventos de recaudacion"
ejecucion,Inicio entre 01-04-2027 y 31-05-2027. Maximo 12 meses,Idem,Idem,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Realizacion desde enero 2027
monto minimo,500000,500000,500000,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,-
monto maximo,18000000,18000000,15000000,"15000000 segun ficha, por reverificar",US$10.000
bolsa regional Metropolitana,800000000,700000000,400000000,concurso nacional,"10 becas en total, 4 en la categoria Artistas"
cofinanciamiento obligatorio,No exigido. El postulante cubre lo no financiado,No exigido,No exigido,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,No exigido
items de gasto,"Operacion, Personal, INVERSION, Imprevistos","Operacion, Personal, Imprevistos. SIN item de Inversion","Operacion, Personal, Imprevistos. SIN item de Inversion",No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Desglose libre por categoria en Excel o PDF
tope asignacion del responsable,"40 por ciento del monto solicitado, solo persona natural","40 por ciento, solo persona natural","40 por ciento, solo persona natural",No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,No aplica
inversiones,Permitidas. Bienes indispensables que subsisten tras el proyecto. Exige declarar destino posterior. Se evalua la pertinencia de imputar el 100 por ciento,NO CONTEMPLADAS como item,NO CONTEMPLADAS como item,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Libre
imprevistos,Maximo 2 por ciento del total solicitado. No puede aumentar la asignacion del responsable,Maximo 2 por ciento,Maximo 2 por ciento,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Libre
gastos excluidos,Honorarios a autoridades o funcionarios de la Subsecretaria y vinculados. Gastos previos a la tramitacion del convenio salvo caso calificado. El costo de la garantia,Idem,Idem,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,"Deudas, gastos legales personales, recaudacion de fondos"
anexos taxativos,Autorizacion de derechos de autor si corresponde. Nomina de socios si es persona juridica con fines de lucro. CARTAS DE COMPROMISO DEL EQUIPO. Consentimiento de comunidad indigena. Estatutos si es persona juridica. Certificado de inhabilidades si hay menores,Idem,Idem,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Documento de identidad. CV. Portfolio artistico. Presupuesto en Excel o PDF. Anexo opcional
anexos de evaluacion,"Propuesta creativa. Estrategias de difusion de obra. Compromisos de exhibicion, EXENTO si el soporte es un medio virtual no existente que el proyecto desarrollara. Permiso de espacio publico. Anteproyecto para arquitectura","Compromisos de exhibicion, EXENTO si el soporte es un sitio web que el proyecto desarrollara. Plan y Fundamentacion de la Estrategia de Difusion. Estrategia de Publicos y Acceso",Programa de la Formacion. Diagnostico de Necesidad Formativa. Estrategias de Transferencia de Aprendizajes,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Ver anexos taxativos
criterios y ponderacion,"Viabilidad 10, Curriculo 20, Calidad 30, Impacto Potencial 40","Viabilidad 10, Curriculo 15, Calidad 25, Impacto Potencial 50","Viabilidad 10, Curriculo 20, Calidad y Diseno del Programa 30, Impacto Cultural y Formativo 40",No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,"Correlacion con los objetivos de la categoria, aporte al desarrollo artistico y factibilidad demostrada"
umbral de elegibilidad,85 puntos o mas,85 puntos o mas,85 puntos o mas,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,No publicado
prioridad de seleccion,"Primero los DOS de mayor puntaje para PRIMERA OBRA ARTISTICA. En la Metropolitana, dos por cada disciplina",Primero el de mayor puntaje de CADA disciplina. En interdisciplina cuenta la disciplina principal,"Primero el de mayor puntaje que considere interregionalizacion, internacionalizacion, DESARROLLO DE PUBLICOS o INCORPORACION DE NUEVAS TECNOLOGIAS Y FORMATOS PARA LA INNOVACION",No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Jurado externo. Decision inapelable
garantia,"Caucion por igual monto: letra de cambio ante notario, vale vista, boleta de garantia o poliza. Su costo NO es imputable al proyecto",Idem,Idem,No revisada en detalle en esta entrega. Ver analisis/RECOMENDACION,Acuerdo firmado con la Fundacion antes del pago
