"objective","verdict","evidence","missing_proof"
"1 RD datos de terreno","INCOMPLETE","PHASE371 field review; rd_datos.db rows=0","Human date field privacy review and ingest authority"
"2 Fusion rd.db","VERIFIED_FOR_RD_DB_CATALOG","Canonical rd.db plus WIN/state table comparison","Keep privacy store separate unless schema decision changes"
"3 RD mutating routes","STATIC_AND_FIXTURE_PASS","16 POST routes; 5 helpers; rollback fixtures","Named live mutation and authority"
"4 FLUJO automation","USER_CONFIRMED_PAUSED","EVENTO user confirmation; cron=0; n8n decoupled","External replay/provider contract"
"5 Non-serve commands","VERIFIED_LOCAL","CLI health help and read-only fixtures","Newly discovered command gap only"
"6 RD assets","LOCAL_PASS_EXTERNAL_EDGES_OPEN","Index SVG ZIP catalog/config rescale fixtures","External render/provider delivery"
"7 Slice dependencies","BASE_PASS_OPTIONAL_OPEN","pip check=0; Windows conflicts not promoted","Named optional slice/provider"
"8 MAK folder architecture","DESIGN_VERIFIED_NOT_RELOCATED","Physical owner map and Phase386 diagram","Owner/consumer/rollback before relocation"
"9 Duplicate documents","CLASSIFIED_NOT_PHYSICALLY_FUSED","4143 files; 99 hash groups; 334 paths","Editorial/consumer authority for merge or quarantine"
"10 Equivalent tools","OWNER_FUSION_VERIFIED_VARIANTS_OPEN","Projection owner and platform parity matrices","Runtime-only variant audit and wrapper preservation"
"11 Full MAK audit","LOCAL_PASS_EXTERNAL_OPEN","AST 550/550 broad; 444/444 operational; pip SQLite cron process guards","External providers workers live routes optional runtimes"
"12 Junk and WIN","LOCAL_CLEANUP_PASS","Reversible quarantine; pyc cleanup; WIN untouched","New path-specific residue proof"
"13 Git branches","PROPOSAL_VERIFIED","PHASE375 branch/write-set proposal","Explicit Git operation request"
