"objective","state","evidence","remaining_proof"
"1 RD field data","OPEN","Phase371; rd_datos.db rows=0","Human date field privacy review and ingest authority"
"2 RD database fusion","VERIFIED_CATALOG","rd.db 20 tables 7587 rows; WIN/state equality","Privacy store remains separate absent schema decision"
"3 RD mutators","FIXTURE_VERIFIED","16 POST routes; 5 helpers; bounded fixtures","Authorized live mutation and rollback"
"4 FLUJO automation","USER_CONFIRMED_PAUSED","EVENTO bridge; cron=0; n8n decoupled","External replay/provider contract"
"5 Non-serve commands","VERIFIED_LOCAL","Phase389 foreground checks","New command gap only"
"6 RD assets","FIXTURE_VERIFIED","Index SVG ZIP catalog config rescale gates","External delivery edge"
"7 Dependencies","BASE_GREEN","pip check=0; slice evidence separated","Optional/provider/render contract"
"8 MAK folders","DESIGNED","Phase386 owner diagram","Owner consumer rollback before relocation"
"9 Duplicate docs","CLASSIFIED","Phase239 bounded hash/provenance scan","Editorial/consumer fusion authority"
"10 Equivalent tools","OWNER_PARITY","Phase370 and Phase388","Consumer-specific divergent variants"
"11 Full MAK audit","LOCAL_GREEN_EXTERNAL_OPEN","AST 550/550 broad; 444/444 operational; guards","External/live/optional boundaries"
"12 Junk/WIN","LOCAL_GREEN","Quarantine and pyc cleanup; WIN untouched","Path-specific new evidence"
"13 Git branches","PROPOSAL_READY","Phase375","Explicit Git operation request"
