id,win_path_or_route,mak_counterpart,domain,command_or_button,current_consumer,platform_assumptions,mtime_win,mtime_mak,sha256_win,sha256_mak,classification,evidence,status
anchor_cli,src/flujo/cli.py,src/flujo/cli.py,hub entrypoint,"flujo serve; flujo app",web.hub.launch; host 127.0.0.1 port 8765,"Python package; optional pywebview desktop",2026-08-12T08:50:21-04:00,2026-08-14T12:57:59-04:00,0cc6bb347ecf049aa1133f09477d3136d1dcc8f727e1a100c479463019b23871,2dea3cc9df4398db877fd34374c9fc4dcf8de8eb2fa4ccac2b32a5065fc602a2,migration_anchor,"CLI definitions; MAK equivalent present",verified
anchor_hub,src/flujo/web/hub.py,src/flujo/web/hub.py,RD ISKVW CULTURA,"hub root; API GET/POST",flujo_hub.html; 48 route tokens equal,"stdlib HTTP; localhost default; optional desktop bridge",2026-08-07T07:48:49-04:00,2026-08-14T13:03:07-04:00,0cb04a8a46c1137c5871dc01aa1642d1d707596f32e9639abeca7da0326181d9,08fcaee0a0d2963a9590704673ae7965afe5d26d80e1c06b7e3bcac6af7c11ce,migration_anchor,"do_GET/do_POST; route set unchanged",verified
anchor_light_server,src/flujo/serve/server.py,src/flujo/serve/server.py,RD heuristic,"flujo serve legacy/light",context/flujo_hub.html; /api/materials; /api/plano/render,"stdlib only; 127.0.0.1:8777; /context prefix",2026-07-28T04:33:11-04:00,2026-07-28T04:33:11-04:00,8d38b2bbdd8aba78e52a4e623db5a8965bdf1fac017072dd5a42721cd8e56f13,8d38b2bbdd8aba78e52a4e623db5a8965bdf1fac017072dd5a42721cd8e56f13,same_baseline,"byte-identical; not full web.hub consumer",verified
anchor_html,context/flujo_hub.html,context/flujo_hub.html,RD ISKVW CULTURA,"RD mode; ISKVW mode; Cultura view; Portafolio button",hub static resolver; 20 route tokens equal,"browser JavaScript bundle; hub or direct-file fallback",2026-08-14T14:32:01-04:00,2026-08-14T14:24:00-04:00,825e486b1560facb994379477e23441962599a00384bff9892d96bc8674c95b3,751f032fbfead1b3d856c76af4176364dbf4a6cc88ecec195f0c99f6e405e2fe,migration_anchor,"static label/fetch extraction; no /cultura endpoint",verified
anchor_bat,abrir_hub.bat,abrir_hub.bat,Windows adapter,"double click; calls launch-flujo.bat",launch-flujo.bat; browser/server launcher,"Windows cmd; cd /d; CRLF expected",2026-07-28T05:01:40-04:00,2026-08-03T22:00:06-04:00,c682fadb3fe0c9cce397b51512dd64b598aba9816039c077f5900bf37ba8fdb0,80d69039a46ddaa63f4288857b74027777b049fe2c07639c66fe95d9ff376956,windows_adapter,"diff is line endings; sibling launchers exist",verified
route_root,/,/,hub navigation,"/, /hub, /index.html",/flujo_hub.html,HTTP server; local browser,,,,,migration_anchor,"hub.py do_GET alias",verified
route_visualizer,/visualizer,/visualizer,ISKVW,"SVG Studio button",/svg_visualizer.html; /api/list-svg-works; /api/svg-index,local browser; static SVG roots,,,,,migration_anchor,"hub alias and HTML fetch",verified
route_plano,/plano,/plano,RD,"Plano / Rider button",/plano_demo.html; /api/plano/render,local browser; RD event layout,,,,,migration_anchor,"hub alias and POST route",verified
route_rd_db,/api/rd-db,/api/rd-db,RD,"RD database; productoras; venues",_get_rd_db; /api/rd-db/logo,MAK RD data; local HTTP,,,,,migration_anchor,"GET route and HTML fetch",verified
route_rd_tariff,/api/rd-packs,/api/rd-packs,RD,"packs; tariff",plano.packs; RD rider/quote,local data/rd_packs.json,,,,,migration_anchor,"GET route and HTML fetch",verified
route_rd_field,/api/rd-datos-summary,/api/rd-datos-summary,RD,"field data summary",rd.informe.resumen_json,local RD database if present,,,,,migration_anchor,"GET route; not called",verified
route_rd_quote,/api/cotizacion-servicios; /api/cotizacion/render,/api/cotizacion-servicios; /api/cotizacion/render,RD,"cotizacion; quote render",HTML quote UI; generar_cotizacion_base,local browser and Python backend,,,,,migration_anchor,"HTML fetch and hub POST",verified
route_iskvw_portfolio,/api/portafolio,/api/portafolio,ISKVW,"Portafolio button",_get_portafolio; docs/iskvw/prototipo.html,local static docs; catalog data,,,,,migration_anchor,"HTML fetch and hub GET",verified
route_iskvw_show,/api/show-kit,/api/show-kit,ISKVW,"Show kit button",_get_show_kit; setlist/cues/records,local show records,,,,,migration_anchor,"HTML fetch and hub GET",verified
route_iskvw_mak,/api/mak,/api/mak,ISKVW MAK,"MAK status panel",_get_mak; read-only box state,optional local MAK endpoint; no network called,,,,,migration_anchor,"HTML polling fetch; not executed",verified
route_cultura,cultura view key,cultura view key,CULTURA,"Cultura button/card",static project and portfolio views; no /api/cultura,hub static context and repo allowlist; no dedicated service,,,,,genealogy_evidence,"labels: tapiz tilde psicosis precursor",verified
route_commands,/api/comandos; /api/comando; /api/run-safe-command,/api/comandos; /api/comando; /api/run-safe-command,shared hub,"Comandos button; manifest; run command",_leer_manifiesto_comandos; _correr_comando; _run_safe_command,local HTTP; mutating POSTs not called,,,,,migration_anchor,"route inventory; risk boundary",verified
route_delegate,/api/delegate,/api/delegate,shared hub,"Delegate role buttons",_handle_delegate; CLI flujo delegate,local Python; optional isolated clone workflow,,,,,migration_anchor,"hub route and CLI consumer",verified
